# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_leadSJ_fj1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_leadSJ_fj1_boost_C1e
ScaledBy=1
Title=eta_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	9.929985e-01	6.710062e-02	6.710062e-02
-2.000000e+00	-1.600000e+00	8.415550e+00	1.953410e-01	1.953410e-01
-1.600000e+00	-1.200000e+00	1.360725e+01	2.483919e-01	2.483919e-01
-1.200000e+00	-8.000000e-01	1.661799e+01	2.744994e-01	2.744994e-01
-8.000000e-01	-4.000000e-01	1.861759e+01	2.905454e-01	2.905454e-01
-4.000000e-01	0.000000e+00	1.977382e+01	2.994315e-01	2.994315e-01
0.000000e+00	4.000000e-01	1.923425e+01	2.953179e-01	2.953179e-01
4.000000e-01	8.000000e-01	1.859492e+01	2.903684e-01	2.903684e-01
8.000000e-01	1.200000e+00	1.642755e+01	2.729220e-01	2.729220e-01
1.200000e+00	1.600000e+00	1.404707e+01	2.523743e-01	2.523743e-01
1.600000e+00	2.000000e+00	8.148030e+00	1.922111e-01	1.922111e-01
2.000000e+00	2.400000e+00	1.061012e+00	6.936053e-02	6.936053e-02
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

