# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_H1_res_C1e
Path=/res/100TeVlambda_oxford/histo_eta_H1_res_C1e
ScaledBy=1
Title=eta_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	8.010230e-02	2.832044e-02	2.832044e-02
-5.600000e+00	-5.200000e+00	2.002558e-01	4.477855e-02	4.477855e-02
-5.200000e+00	-4.800000e+00	4.706010e-01	6.864422e-02	6.864422e-02
-4.800000e+00	-4.400000e+00	1.191522e+00	1.092266e-01	1.092266e-01
-4.400000e+00	-4.000000e+00	2.172775e+00	1.474976e-01	1.474976e-01
-4.000000e+00	-3.600000e+00	4.846190e+00	2.202813e-01	2.202813e-01
-3.600000e+00	-3.200000e+00	9.151688e+00	3.027110e-01	3.027110e-01
-3.200000e+00	-2.800000e+00	1.738220e+01	4.171862e-01	4.171862e-01
-2.800000e+00	-2.400000e+00	3.309228e+01	5.756265e-01	5.756265e-01
-2.400000e+00	-2.000000e+00	5.789395e+01	7.613670e-01	7.613670e-01
-2.000000e+00	-1.600000e+00	7.699835e+01	8.780479e-01	8.780479e-01
-1.600000e+00	-1.200000e+00	8.150410e+01	9.033732e-01	9.033732e-01
-1.200000e+00	-8.000000e-01	8.205480e+01	9.064202e-01	9.064202e-01
-8.000000e-01	-4.000000e-01	7.915110e+01	8.902377e-01	8.902377e-01
-4.000000e-01	0.000000e+00	7.665790e+01	8.761047e-01	8.761047e-01
0.000000e+00	4.000000e-01	7.729872e+01	8.797588e-01	8.797588e-01
4.000000e-01	8.000000e-01	7.829000e+01	8.853820e-01	8.853820e-01
8.000000e-01	1.200000e+00	8.200473e+01	9.061436e-01	9.061436e-01
1.200000e+00	1.600000e+00	8.165427e+01	9.042051e-01	9.042051e-01
1.600000e+00	2.000000e+00	7.460528e+01	8.642956e-01	8.642956e-01
2.000000e+00	2.400000e+00	5.732320e+01	7.576049e-01	7.576049e-01
2.400000e+00	2.800000e+00	3.308225e+01	5.755394e-01	5.755394e-01
2.800000e+00	3.200000e+00	1.819323e+01	4.268079e-01	4.268079e-01
3.200000e+00	3.600000e+00	9.261830e+00	3.045271e-01	3.045271e-01
3.600000e+00	4.000000e+00	5.056458e+00	2.250094e-01	2.250094e-01
4.000000e+00	4.400000e+00	2.032596e+00	1.426603e-01	1.426603e-01
4.400000e+00	4.800000e+00	1.011292e+00	1.006273e-01	1.006273e-01
4.800000e+00	5.200000e+00	3.704732e-01	6.090541e-02	6.090541e-02
5.200000e+00	5.600000e+00	2.803580e-01	5.298269e-02	5.298269e-02
5.600000e+00	6.000000e+00	9.011510e-02	3.003836e-02	3.003836e-02
# END HISTO1D

