# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_subleadSJ_fj2_boost_C2
Path=/res/100TeVlambda_oxford/histo_eta_subleadSJ_fj2_boost_C2
ScaledBy=1
Title=eta_subleadSJ_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.518610e-02	1.004745e-02	1.004745e-02
-2.400000e+00	-2.000000e+00	6.911280e-01	5.286584e-02	5.286584e-02
-2.000000e+00	-1.600000e+00	1.570303e+00	7.966453e-02	7.966453e-02
-1.600000e+00	-1.200000e+00	2.557852e+00	1.016695e-01	1.016695e-01
-1.200000e+00	-8.000000e-01	3.405688e+00	1.172768e-01	1.172768e-01
-8.000000e-01	-4.000000e-01	3.817722e+00	1.242406e-01	1.242406e-01
-4.000000e-01	0.000000e+00	4.222602e+00	1.307121e-01	1.307121e-01
0.000000e+00	4.000000e-01	4.075510e+00	1.283723e-01	1.283723e-01
4.000000e-01	8.000000e-01	4.024015e+00	1.274660e-01	1.274660e-01
8.000000e-01	1.200000e+00	3.414863e+00	1.173637e-01	1.173637e-01
1.200000e+00	1.600000e+00	2.547357e+00	1.013466e-01	1.013466e-01
1.600000e+00	2.000000e+00	1.452698e+00	7.664611e-02	7.664611e-02
2.000000e+00	2.400000e+00	5.150390e-01	4.551683e-02	4.551683e-02
2.400000e+00	2.800000e+00	2.487409e-02	1.004660e-02	1.004660e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

