# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_H0_inter_C1e
Path=/res/100TeVlambda_oxford/histo_m_H0_inter_C1e
ScaledBy=1
Title=m_H0_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	9.452072e-01	2.511860e-02	2.511860e-02
9.000000e+01	9.600000e+01	1.030650e+00	2.622934e-02	2.622934e-02
9.600000e+01	1.020000e+02	9.966062e-01	2.579252e-02	2.579252e-02
1.020000e+02	1.080000e+02	1.007286e+00	2.593035e-02	2.593035e-02
1.080000e+02	1.140000e+02	1.150803e+00	2.771612e-02	2.771612e-02
1.140000e+02	1.200000e+02	1.966512e+00	3.623098e-02	3.623098e-02
1.200000e+02	1.260000e+02	3.079933e+00	4.534220e-02	4.534220e-02
1.260000e+02	1.320000e+02	2.622683e+00	4.184126e-02	4.184126e-02
1.320000e+02	1.380000e+02	1.435166e+00	3.095159e-02	3.095159e-02
1.380000e+02	1.440000e+02	7.476215e-01	2.233946e-02	2.233946e-02
1.440000e+02	1.500000e+02	5.073147e-01	1.840223e-02	1.840223e-02
1.500000e+02	1.560000e+02	4.118593e-01	1.658083e-02	1.658083e-02
1.560000e+02	1.620000e+02	3.310895e-01	1.486636e-02	1.486636e-02
1.620000e+02	1.680000e+02	1.568670e-01	1.023288e-02	1.023288e-02
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

