# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_HH_boost_C1e
Path=/res/100TeVlambda_oxford/histo_m_HH_boost_C1e
ScaledBy=1
Title=m_HH_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.200000e+02	2.002557e-04	2.002558e-04	2.002558e-04
3.200000e+02	3.400000e+02	2.002557e-04	2.002558e-04	2.002558e-04
3.400000e+02	3.600000e+02	2.202814e-03	6.641732e-04	6.641732e-04
3.600000e+02	3.800000e+02	2.603325e-03	7.220324e-04	7.220324e-04
3.800000e+02	4.000000e+02	8.010230e-03	1.266529e-03	1.266529e-03
4.000000e+02	4.200000e+02	1.181509e-02	1.538194e-03	1.538194e-03
4.200000e+02	4.400000e+02	1.682149e-02	1.835375e-03	1.835375e-03
4.400000e+02	4.600000e+02	2.583299e-02	2.274468e-03	2.274468e-03
4.600000e+02	4.800000e+02	4.245422e-02	2.915768e-03	2.915768e-03
4.800000e+02	5.000000e+02	6.888800e-02	3.714191e-03	3.714191e-03
5.000000e+02	5.200000e+02	9.171715e-02	4.285660e-03	4.285660e-03
5.200000e+02	5.400000e+02	1.311675e-01	5.125139e-03	5.125139e-03
5.400000e+02	5.600000e+02	1.778271e-01	5.967487e-03	5.967487e-03
5.600000e+02	5.800000e+02	2.082660e-01	6.458055e-03	6.458055e-03
5.800000e+02	6.000000e+02	2.373031e-01	6.893569e-03	6.893569e-03
# END HISTO1D

