# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_H1_inter_C2
Path=/res/100TeVlambda_oxford/histo_pt_H1_inter_C2
ScaledBy=1
Title=pt_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.912990e-03	4.578053e-04	4.578053e-04
3.000000e+01	6.000000e+01	9.266127e-03	7.049626e-04	7.049626e-04
6.000000e+01	9.000000e+01	1.343089e-02	8.476931e-04	8.476931e-04
9.000000e+01	1.200000e+02	2.346613e-02	1.119955e-03	1.119955e-03
1.200000e+02	1.500000e+02	3.830003e-02	1.430184e-03	1.430184e-03
1.500000e+02	1.800000e+02	6.203653e-02	1.822304e-03	1.822304e-03
1.800000e+02	2.100000e+02	8.030947e-02	2.075558e-03	2.075558e-03
2.100000e+02	2.400000e+02	7.453280e-02	2.002038e-03	2.002038e-03
2.400000e+02	2.700000e+02	3.578543e-02	1.387354e-03	1.387354e-03
2.700000e+02	3.000000e+02	1.657854e-02	9.429155e-04	9.429155e-04
3.000000e+02	3.300000e+02	9.994140e-03	7.302325e-04	7.302325e-04
3.300000e+02	3.600000e+02	7.372297e-03	6.265614e-04	6.265614e-04
3.600000e+02	3.900000e+02	3.727777e-03	4.446219e-04	4.446219e-04
3.900000e+02	4.200000e+02	2.745448e-03	3.794625e-04	3.794625e-04
4.200000e+02	4.500000e+02	2.251894e-03	3.422295e-04	3.422295e-04
4.500000e+02	4.800000e+02	1.403829e-03	2.685571e-04	2.685571e-04
4.800000e+02	5.100000e+02	6.569933e-04	1.819287e-04	1.819287e-04
5.100000e+02	5.400000e+02	5.849970e-04	1.731195e-04	1.731195e-04
5.400000e+02	5.700000e+02	6.532633e-04	1.819227e-04	1.819227e-04
5.700000e+02	6.000000e+02	5.183650e-04	1.642320e-04	1.642320e-04
6.000000e+02	6.300000e+02	6.973140e-04	1.898335e-04	1.898335e-04
6.300000e+02	6.600000e+02	5.780540e-04	1.733485e-04	1.733485e-04
6.600000e+02	6.900000e+02	1.883243e-04	9.524294e-05	9.524294e-05
6.900000e+02	7.200000e+02	8.013690e-05	5.560257e-05	5.560257e-05
7.200000e+02	7.500000e+02	6.402203e-05	5.473896e-05	5.473896e-05
7.500000e+02	7.800000e+02	2.541913e-05	1.008621e-05	1.008621e-05
7.800000e+02	8.100000e+02	5.075283e-06	1.881752e-06	1.881752e-06
8.100000e+02	8.400000e+02	8.911650e-06	6.937186e-06	6.937186e-06
8.400000e+02	8.700000e+02	1.478368e-06	9.705526e-07	9.705526e-07
8.700000e+02	9.000000e+02	2.845234e-06	1.369827e-06	1.369827e-06
# END HISTO1D

