# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_HH_boost_C2
Path=/res/100TeVlambda_oxford/histo_pt_HH_boost_C2
ScaledBy=1
Title=pt_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.290608e-02	1.927680e-03	1.927680e-03
1.000000e+01	2.000000e+01	5.696665e-02	3.039346e-03	3.039346e-03
2.000000e+01	3.000000e+01	7.307209e-02	3.438743e-03	3.438743e-03
3.000000e+01	4.000000e+01	7.399946e-02	3.458338e-03	3.458338e-03
4.000000e+01	5.000000e+01	7.534639e-02	3.492711e-03	3.492711e-03
5.000000e+01	6.000000e+01	6.424499e-02	3.216745e-03	3.216745e-03
6.000000e+01	7.000000e+01	6.306066e-02	3.191127e-03	3.191127e-03
7.000000e+01	8.000000e+01	5.623565e-02	3.012999e-03	3.012999e-03
8.000000e+01	9.000000e+01	5.097371e-02	2.870757e-03	2.870757e-03
9.000000e+01	1.000000e+02	4.784711e-02	2.775828e-03	2.775828e-03
1.000000e+02	1.100000e+02	4.041141e-02	2.548420e-03	2.548420e-03
1.100000e+02	1.200000e+02	3.993589e-02	2.537257e-03	2.537257e-03
1.200000e+02	1.300000e+02	3.338200e-02	2.321074e-03	2.321074e-03
1.300000e+02	1.400000e+02	2.848809e-02	2.134604e-03	2.134604e-03
1.400000e+02	1.500000e+02	3.148027e-02	2.256191e-03	2.256191e-03
1.500000e+02	1.600000e+02	3.003112e-02	2.201873e-03	2.201873e-03
1.600000e+02	1.700000e+02	2.369170e-02	1.955564e-03	1.955564e-03
1.700000e+02	1.800000e+02	2.365293e-02	1.955543e-03	1.955543e-03
1.800000e+02	1.900000e+02	1.691978e-02	1.649694e-03	1.649694e-03
1.900000e+02	2.000000e+02	2.122252e-02	1.849674e-03	1.849674e-03
2.000000e+02	2.100000e+02	1.796484e-02	1.698190e-03	1.698190e-03
2.100000e+02	2.200000e+02	1.636286e-02	1.624768e-03	1.624768e-03
2.200000e+02	2.300000e+02	1.882477e-02	1.744578e-03	1.744578e-03
2.300000e+02	2.400000e+02	1.535386e-02	1.574157e-03	1.574157e-03
2.400000e+02	2.500000e+02	1.275543e-02	1.431017e-03	1.431017e-03
2.500000e+02	2.600000e+02	1.383257e-02	1.494963e-03	1.494963e-03
2.600000e+02	2.700000e+02	1.265957e-02	1.430682e-03	1.430682e-03
2.700000e+02	2.800000e+02	1.200737e-02	1.392554e-03	1.392554e-03
2.800000e+02	2.900000e+02	1.008980e-02	1.271812e-03	1.271812e-03
2.900000e+02	3.000000e+02	1.051735e-02	1.302680e-03	1.302680e-03
# END HISTO1D

