# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj_inter_C1e
Path=/res/100TeVlambda_oxford/histo_tau21_fj_inter_C1e
ScaledBy=1
Title=tau21_fj_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.914276e+01	2.429954e+00	2.429954e+00
3.333333e-02	6.666667e-02	1.320486e+02	3.983227e+00	3.983227e+00
6.666667e-02	1.000000e-01	1.917649e+02	4.800127e+00	4.800127e+00
1.000000e-01	1.333333e-01	2.067843e+02	4.984563e+00	4.984563e+00
1.333333e-01	1.666667e-01	2.121906e+02	5.049295e+00	5.049295e+00
1.666667e-01	2.000000e-01	2.072649e+02	4.990353e+00	4.990353e+00
2.000000e-01	2.333333e-01	2.041409e+02	4.952602e+00	4.952602e+00
2.333333e-01	2.666667e-01	1.922451e+02	4.806129e+00	4.806129e+00
2.666667e-01	3.000000e-01	1.783079e+02	4.628643e+00	4.628643e+00
3.000000e-01	3.333333e-01	1.709785e+02	4.532514e+00	4.532514e+00
3.333333e-01	3.666667e-01	1.522341e+02	4.276847e+00	4.276847e+00
3.666667e-01	4.000000e-01	1.453858e+02	4.179549e+00	4.179549e+00
4.000000e-01	4.333333e-01	1.300062e+02	3.952304e+00	3.952304e+00
4.333333e-01	4.666667e-01	1.187114e+02	3.776712e+00	3.776712e+00
4.666667e-01	5.000000e-01	1.164288e+02	3.740233e+00	3.740233e+00
5.000000e-01	5.333333e-01	9.984763e+01	3.463676e+00	3.463676e+00
5.333333e-01	5.666667e-01	9.155676e+01	3.316751e+00	3.316751e+00
5.666667e-01	6.000000e-01	8.074319e+01	3.114737e+00	3.114737e+00
6.000000e-01	6.333333e-01	6.572401e+01	2.810156e+00	2.810156e+00
6.333333e-01	6.666667e-01	5.022404e+01	2.456538e+00	2.456538e+00
6.666667e-01	7.000000e-01	4.205374e+01	2.247868e+00	2.247868e+00
7.000000e-01	7.333333e-01	3.472437e+01	2.042611e+00	2.042611e+00
7.333333e-01	7.666667e-01	2.138727e+01	1.603044e+00	1.603044e+00
7.666667e-01	8.000000e-01	1.694165e+01	1.426745e+00	1.426745e+00
8.000000e-01	8.333333e-01	9.371979e+00	1.061168e+00	1.061168e+00
8.333333e-01	8.666667e-01	9.251798e+00	1.054340e+00	1.054340e+00
8.666667e-01	9.000000e-01	7.089061e+00	9.229171e-01	9.229171e-01
9.000000e-01	9.333333e-01	5.887524e+00	8.410751e-01	8.410751e-01
9.333333e-01	9.666667e-01	3.364289e+00	6.357910e-01	6.357910e-01
9.666667e-01	1.000000e+00	2.162764e+00	5.097685e-01	5.097685e-01
# END HISTO1D

