# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_dR_HH_inter_C1e
Path=/res/100TeVlambda_oxford/histo_dR_HH_inter_C1e
ScaledBy=1
Title=dR_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	4.281344e-02	4.281343e-02	4.281343e-02
1.666667e-01	3.333333e-01	4.281346e-02	4.281346e-02	4.281346e-02
3.333333e-01	5.000000e-01	4.281344e-01	1.353880e-01	1.353880e-01
5.000000e-01	6.666667e-01	8.562688e-01	1.914675e-01	1.914675e-01
6.666667e-01	8.333333e-01	1.070336e+00	2.140673e-01	2.140673e-01
8.333333e-01	1.000000e+00	1.027523e+00	2.097421e-01	2.097421e-01
1.000000e+00	1.166667e+00	2.568801e+00	3.316308e-01	3.316308e-01
1.166667e+00	1.333333e+00	4.110107e+00	4.194860e-01	4.194860e-01
1.333333e+00	1.500000e+00	6.250751e+00	5.173158e-01	5.173158e-01
1.500000e+00	1.666667e+00	8.776740e+00	6.129938e-01	6.129938e-01
1.666667e+00	1.833333e+00	1.198781e+01	7.164089e-01	7.164089e-01
1.833333e+00	2.000000e+00	1.498468e+01	8.009645e-01	8.009645e-01
2.000000e+00	2.166667e+00	2.162075e+01	9.621106e-01	9.621106e-01
2.166667e+00	2.333333e+00	2.628756e+01	1.060880e+00	1.060880e+00
2.333333e+00	2.500000e+00	4.028737e+01	1.313331e+00	1.313331e+00
2.500000e+00	2.666667e+00	6.177966e+01	1.626344e+00	1.626344e+00
2.666667e+00	2.833333e+00	9.808599e+01	2.049248e+00	2.049248e+00
2.833333e+00	3.000000e+00	1.724522e+02	2.717215e+00	2.717215e+00
3.000000e+00	3.166667e+00	2.655284e+02	3.371671e+00	3.371671e+00
3.166667e+00	3.333333e+00	1.107588e+02	2.177610e+00	2.177610e+00
3.333333e+00	3.500000e+00	5.022007e+01	1.466318e+00	1.466318e+00
3.500000e+00	3.666667e+00	2.851369e+01	1.104883e+00	1.104883e+00
3.666667e+00	3.833333e+00	1.870955e+01	8.949991e-01	8.949991e-01
3.833333e+00	4.000000e+00	1.215899e+01	7.215035e-01	7.215035e-01
4.000000e+00	4.166667e+00	8.648299e+00	6.084923e-01	6.084923e-01
4.166667e+00	4.333333e+00	6.892990e+00	5.432438e-01	5.432438e-01
4.333333e+00	4.500000e+00	5.180416e+00	4.709469e-01	4.709469e-01
4.500000e+00	4.666667e+00	3.596322e+00	3.923909e-01	3.923909e-01
4.666667e+00	4.833333e+00	3.253835e+00	3.732404e-01	3.732404e-01
4.833333e+00	5.000000e+00	1.541281e+00	2.568802e-01	2.568802e-01
# END HISTO1D

