# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_smallR_boost_C1b
Path=/res/100TeVlambda_oxford/histo_m_smallR_boost_C1b
ScaledBy=1
Title=m_smallR_boost_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	4.643525e+02	9.311853e-01	9.311853e-01
6.000000e+00	1.200000e+01	7.573857e+02	1.189243e+00	1.189243e+00
1.200000e+01	1.800000e+01	3.840045e+02	8.467990e-01	8.467990e-01
1.800000e+01	2.400000e+01	2.219208e+02	6.437412e-01	6.437412e-01
2.400000e+01	3.000000e+01	1.422637e+02	5.154175e-01	5.154175e-01
3.000000e+01	3.600000e+01	9.663882e+01	4.248035e-01	4.248035e-01
3.600000e+01	4.200000e+01	6.635422e+01	3.520031e-01	3.520031e-01
4.200000e+01	4.800000e+01	4.708323e+01	2.965141e-01	2.965141e-01
4.800000e+01	5.400000e+01	3.451040e+01	2.538559e-01	2.538559e-01
5.400000e+01	6.000000e+01	2.528572e+01	2.172951e-01	2.172951e-01
6.000000e+01	6.600000e+01	1.896288e+01	1.881761e-01	1.881761e-01
6.600000e+01	7.200000e+01	1.486593e+01	1.666128e-01	1.666128e-01
7.200000e+01	7.800000e+01	1.172132e+01	1.479451e-01	1.479451e-01
7.800000e+01	8.400000e+01	9.172397e+00	1.308741e-01	1.308741e-01
8.400000e+01	9.000000e+01	7.572082e+00	1.189104e-01	1.189104e-01
9.000000e+01	9.600000e+01	6.390053e+00	1.092357e-01	1.092357e-01
9.600000e+01	1.020000e+02	5.654320e+00	1.027549e-01	1.027549e-01
1.020000e+02	1.080000e+02	5.667390e+00	1.028736e-01	1.028736e-01
1.080000e+02	1.140000e+02	6.294818e+00	1.084186e-01	1.084186e-01
1.140000e+02	1.200000e+02	6.558113e+00	1.106628e-01	1.106628e-01
1.200000e+02	1.260000e+02	6.498358e+00	1.101575e-01	1.101575e-01
1.260000e+02	1.320000e+02	5.921350e+00	1.051532e-01	1.051532e-01
1.320000e+02	1.380000e+02	4.474157e+00	9.140456e-02	9.140456e-02
1.380000e+02	1.440000e+02	3.661863e+00	8.269195e-02	8.269195e-02
1.440000e+02	1.500000e+02	2.965343e+00	7.441315e-02	7.441315e-02
1.500000e+02	1.560000e+02	2.407007e+00	6.704261e-02	6.704261e-02
1.560000e+02	1.620000e+02	2.065283e+00	6.210149e-02	6.210149e-02
1.620000e+02	1.680000e+02	1.723558e+00	5.673163e-02	5.673163e-02
1.680000e+02	1.740000e+02	1.467733e+00	5.235229e-02	5.235229e-02
1.740000e+02	1.800000e+02	1.260458e+00	4.851503e-02	4.851503e-02
# END HISTO1D

