# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_smallR_res_C1c
Path=/res/100TeVlambda_oxford/histo_pt_smallR_res_C1c
ScaledBy=1
Title=pt_smallR_res_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.895859e+02	2.660910e-01	2.660910e-01
6.000000e+01	9.000000e+01	1.852884e+02	2.630579e-01	2.630579e-01
9.000000e+01	1.200000e+02	1.185402e+02	2.104069e-01	2.104069e-01
1.200000e+02	1.500000e+02	7.874180e+01	1.714865e-01	1.714865e-01
1.500000e+02	1.800000e+02	5.385683e+01	1.418233e-01	1.418233e-01
1.800000e+02	2.100000e+02	3.783950e+01	1.188776e-01	1.188776e-01
2.100000e+02	2.400000e+02	2.716463e+01	1.007231e-01	1.007231e-01
2.400000e+02	2.700000e+02	2.008628e+01	8.661178e-02	8.661178e-02
2.700000e+02	3.000000e+02	1.517105e+01	7.527228e-02	7.527228e-02
3.000000e+02	3.300000e+02	1.188341e+01	6.661894e-02	6.661894e-02
3.300000e+02	3.600000e+02	9.389383e+00	5.921691e-02	5.921691e-02
3.600000e+02	3.900000e+02	7.504857e+00	5.294177e-02	5.294177e-02
3.900000e+02	4.200000e+02	5.981103e+00	4.726263e-02	4.726263e-02
4.200000e+02	4.500000e+02	4.993653e+00	4.318535e-02	4.318535e-02
4.500000e+02	4.800000e+02	4.222813e+00	3.971258e-02	3.971258e-02
4.800000e+02	5.100000e+02	3.528907e+00	3.630341e-02	3.630341e-02
5.100000e+02	5.400000e+02	2.973559e+00	3.332465e-02	3.332465e-02
5.400000e+02	5.700000e+02	2.639678e+00	3.139805e-02	3.139805e-02
5.700000e+02	6.000000e+02	2.284883e+00	2.921186e-02	2.921186e-02
6.000000e+02	6.300000e+02	2.089559e+00	2.793537e-02	2.793537e-02
6.300000e+02	6.600000e+02	1.812818e+00	2.601982e-02	2.601982e-02
6.600000e+02	6.900000e+02	1.663431e+00	2.492468e-02	2.492468e-02
6.900000e+02	7.200000e+02	1.497984e+00	2.365270e-02	2.365270e-02
7.200000e+02	7.500000e+02	1.359800e+00	2.253537e-02	2.253537e-02
7.500000e+02	7.800000e+02	1.242158e+00	2.153851e-02	2.153851e-02
7.800000e+02	8.100000e+02	1.116299e+00	2.041820e-02	2.041820e-02
8.100000e+02	8.400000e+02	1.034135e+00	1.965242e-02	1.965242e-02
8.400000e+02	8.700000e+02	9.075293e-01	1.841016e-02	1.841016e-02
8.700000e+02	9.000000e+02	8.186440e-01	1.748537e-02	1.748537e-02
# END HISTO1D

