# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_smallR_boost_C2
Path=/res/100TeVlambda_oxford/histo_eta_smallR_boost_C2
ScaledBy=1
Title=eta_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	3.292755e-01	1.887554e-02	1.887554e-02
-2.400000e+00	-2.000000e+00	2.003340e+00	4.653375e-02	4.653375e-02
-2.000000e+00	-1.600000e+00	4.169848e+00	6.712721e-02	6.712721e-02
-1.600000e+00	-1.200000e+00	6.531197e+00	8.402388e-02	8.402388e-02
-1.200000e+00	-8.000000e-01	8.002985e+00	9.300998e-02	9.300998e-02
-8.000000e-01	-4.000000e-01	8.917755e+00	9.817363e-02	9.817363e-02
-4.000000e-01	0.000000e+00	9.267770e+00	1.000423e-01	1.000423e-01
0.000000e+00	4.000000e-01	9.446547e+00	1.010359e-01	1.010359e-01
4.000000e-01	8.000000e-01	8.762545e+00	9.729199e-02	9.729199e-02
8.000000e-01	1.200000e+00	7.891080e+00	9.232565e-02	9.232565e-02
1.200000e+00	1.600000e+00	6.286352e+00	8.239801e-02	8.239801e-02
1.600000e+00	2.000000e+00	3.960970e+00	6.540722e-02	6.540722e-02
2.000000e+00	2.400000e+00	1.992005e+00	4.639213e-02	4.639213e-02
2.400000e+00	2.800000e+00	3.382688e-01	1.912798e-02	1.912798e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

