# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj_inter_C1d
Path=/res/100TeVlambda_oxford/histo_tau21_fj_inter_C1d
ScaledBy=1
Title=tau21_fj_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	5.818660e+01	1.366168e+00	1.366168e+00
3.333333e-02	6.666667e-02	1.461080e+02	2.164859e+00	2.164859e+00
6.666667e-02	1.000000e-01	2.075985e+02	2.580506e+00	2.580506e+00
1.000000e-01	1.333333e-01	2.424336e+02	2.788621e+00	2.788621e+00
1.333333e-01	1.666667e-01	2.518313e+02	2.842151e+00	2.842151e+00
1.666667e-01	2.000000e-01	2.648551e+02	2.914722e+00	2.914722e+00
2.000000e-01	2.333333e-01	2.688967e+02	2.936877e+00	2.936877e+00
2.333333e-01	2.666667e-01	2.661694e+02	2.921941e+00	2.921941e+00
2.666667e-01	3.000000e-01	2.632833e+02	2.906060e+00	2.906060e+00
3.000000e-01	3.333333e-01	2.677740e+02	2.930739e+00	2.930739e+00
3.333333e-01	3.666667e-01	2.680619e+02	2.932310e+00	2.932310e+00
3.666667e-01	4.000000e-01	2.594021e+02	2.884561e+00	2.884561e+00
4.000000e-01	4.333333e-01	2.587926e+02	2.881170e+00	2.881170e+00
4.333333e-01	4.666667e-01	2.524086e+02	2.845407e+00	2.845407e+00
4.666667e-01	5.000000e-01	2.451922e+02	2.804441e+00	2.804441e+00
5.000000e-01	5.333333e-01	2.361787e+02	2.752412e+00	2.752412e+00
5.333333e-01	5.666667e-01	2.264268e+02	2.694984e+00	2.694984e+00
5.666667e-01	6.000000e-01	2.092024e+02	2.590457e+00	2.590457e+00
6.000000e-01	6.333333e-01	1.871018e+02	2.449807e+00	2.449807e+00
6.333333e-01	6.666667e-01	1.668931e+02	2.313724e+00	2.313724e+00
6.666667e-01	7.000000e-01	1.363248e+02	2.091127e+00	2.091127e+00
7.000000e-01	7.333333e-01	1.196771e+02	1.959290e+00	1.959290e+00
7.333333e-01	7.666667e-01	9.796111e+01	1.772634e+00	1.772634e+00
7.666667e-01	8.000000e-01	7.932500e+01	1.595137e+00	1.595137e+00
8.000000e-01	8.333333e-01	6.229242e+01	1.413548e+00	1.413548e+00
8.333333e-01	8.666667e-01	4.795412e+01	1.240239e+00	1.240239e+00
8.666667e-01	9.000000e-01	3.781810e+01	1.101395e+00	1.101395e+00
9.000000e-01	9.333333e-01	2.623852e+01	9.174082e-01	9.174082e-01
9.333333e-01	9.666667e-01	1.748160e+01	7.488295e-01	7.488295e-01
9.666667e-01	1.000000e+00	1.026446e+01	5.738006e-01	5.738006e-01
# END HISTO1D

