# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj_inter_C2
Path=/res/100TeVlambda_oxford/histo_tau21_fj_inter_C2
ScaledBy=1
Title=tau21_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.980774e+00	2.548160e-01	2.548160e-01
3.333333e-02	6.666667e-02	1.277207e+01	4.074596e-01	4.074596e-01
6.666667e-02	1.000000e-01	1.571520e+01	4.520340e-01	4.520340e-01
1.000000e-01	1.333333e-01	1.673520e+01	4.660127e-01	4.660127e-01
1.333333e-01	1.666667e-01	1.503854e+01	4.416467e-01	4.416467e-01
1.666667e-01	2.000000e-01	1.363182e+01	4.200316e-01	4.200316e-01
2.000000e-01	2.333333e-01	1.214121e+01	3.963089e-01	3.963089e-01
2.333333e-01	2.666667e-01	9.722690e+00	3.544246e-01	3.544246e-01
2.666667e-01	3.000000e-01	8.516193e+00	3.315117e-01	3.315117e-01
3.000000e-01	3.333333e-01	6.992287e+00	2.995576e-01	2.995576e-01
3.333333e-01	3.666667e-01	5.303059e+00	2.606481e-01	2.606481e-01
3.666667e-01	4.000000e-01	4.235146e+00	2.323029e-01	2.323029e-01
4.000000e-01	4.333333e-01	3.340818e+00	2.062655e-01	2.062655e-01
4.333333e-01	4.666667e-01	2.650689e+00	1.832021e-01	1.832021e-01
4.666667e-01	5.000000e-01	1.991910e+00	1.584217e-01	1.584217e-01
5.000000e-01	5.333333e-01	1.359975e+00	1.302683e-01	1.302683e-01
5.333333e-01	5.666667e-01	9.932620e-01	1.108715e-01	1.108715e-01
5.666667e-01	6.000000e-01	7.054576e-01	9.306307e-02	9.306307e-02
6.000000e-01	6.333333e-01	5.691642e-01	8.424321e-02	8.424321e-02
6.333333e-01	6.666667e-01	3.419075e-01	6.331098e-02	6.331098e-02
6.666667e-01	7.000000e-01	2.274227e-01	5.267286e-02	5.267286e-02
7.000000e-01	7.333333e-01	1.931947e-01	4.919962e-02	4.919962e-02
7.333333e-01	7.666667e-01	1.269904e-01	3.949472e-02	3.949472e-02
7.666667e-01	8.000000e-01	6.990112e-02	2.939009e-02	2.939009e-02
8.000000e-01	8.333333e-01	1.715809e-02	1.334630e-02	1.334630e-02
8.333333e-01	8.666667e-01	1.363939e-02	1.314155e-02	1.314155e-02
8.666667e-01	9.000000e-01	3.531490e-04	2.331817e-04	2.331817e-04
9.000000e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.666667e-01	3.921268e-04	2.637059e-04	2.637059e-04
9.666667e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

