# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_C2_fj1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_C2_fj1_boost_C1e
ScaledBy=1
Title=C2_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	2.914231e+02	4.072762e+00	4.072762e+00
1.666667e-02	3.333333e-02	3.525539e+02	4.479607e+00	4.479607e+00
3.333333e-02	5.000000e-02	3.054251e+02	4.169456e+00	4.169456e+00
5.000000e-02	6.666667e-02	2.590934e+02	3.840212e+00	3.840212e+00
6.666667e-02	8.333333e-02	2.283006e+02	3.604796e+00	3.604796e+00
8.333333e-02	1.000000e-01	1.962553e+02	3.342241e+00	3.342241e+00
1.000000e-01	1.166667e-01	1.746259e+02	3.152688e+00	3.152688e+00
1.166667e-01	1.333333e-01	1.533393e+02	2.954301e+00	2.954301e+00
1.333333e-01	1.500000e-01	1.422393e+02	2.845355e+00	2.845355e+00
1.500000e-01	1.666667e-01	1.304571e+02	2.724963e+00	2.724963e+00
1.666667e-01	1.833333e-01	1.132115e+02	2.538477e+00	2.538477e+00
1.833333e-01	2.000000e-01	1.010303e+02	2.398018e+00	2.398018e+00
2.000000e-01	2.166667e-01	9.158184e+01	2.283134e+00	2.283134e+00
2.166667e-01	2.333333e-01	7.951562e+01	2.127424e+00	2.127424e+00
2.333333e-01	2.500000e-01	7.000972e+01	1.996209e+00	1.996209e+00
2.500000e-01	2.666667e-01	5.771534e+01	1.812476e+00	1.812476e+00
2.666667e-01	2.833333e-01	5.310526e+01	1.738588e+00	1.738588e+00
2.833333e-01	3.000000e-01	4.359955e+01	1.575316e+00	1.575316e+00
3.000000e-01	3.166667e-01	3.762312e+01	1.463370e+00	1.463370e+00
3.166667e-01	3.333333e-01	3.278524e+01	1.366052e+00	1.366052e+00
3.333333e-01	3.500000e-01	2.356425e+01	1.158120e+00	1.158120e+00
3.500000e-01	3.666667e-01	2.031990e+01	1.075443e+00	1.075443e+00
3.666667e-01	3.833333e-01	1.798635e+01	1.011811e+00	1.011811e+00
3.833333e-01	4.000000e-01	1.388811e+01	8.890952e-01	8.890952e-01
4.000000e-01	4.166667e-01	1.109910e+01	7.948234e-01	7.948234e-01
4.166667e-01	4.333333e-01	1.007463e+01	7.572556e-01	7.572556e-01
4.333333e-01	4.500000e-01	8.765448e+00	7.063398e-01	7.063398e-01
4.500000e-01	4.666667e-01	5.748767e+00	5.720236e-01	5.720236e-01
4.666667e-01	4.833333e-01	4.268911e+00	4.929315e-01	4.929315e-01
4.833333e-01	5.000000e-01	2.789006e+00	3.984294e-01	3.984294e-01
5.000000e-01	5.166667e-01	2.333658e+00	3.644561e-01	3.644561e-01
5.166667e-01	5.333333e-01	1.935240e+00	3.318909e-01	3.318909e-01
5.333333e-01	5.500000e-01	1.764473e+00	3.169087e-01	3.169087e-01
5.500000e-01	5.666667e-01	1.195288e+00	2.608332e-01	2.608332e-01
5.666667e-01	5.833333e-01	9.107010e-01	2.276753e-01	2.276753e-01
5.833333e-01	6.000000e-01	5.691848e-01	1.799920e-01	1.799920e-01
6.000000e-01	6.166667e-01	3.984294e-01	1.505921e-01	1.505921e-01
6.166667e-01	6.333333e-01	1.707565e-01	9.858629e-02	9.858629e-02
6.333333e-01	6.500000e-01	1.138369e-01	8.049489e-02	8.049489e-02
6.500000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	6.833333e-01	1.138376e-01	8.049537e-02	8.049537e-02
6.833333e-01	7.000000e-01	5.691848e-02	5.691848e-02	5.691848e-02
7.000000e-01	7.166667e-01	5.691848e-02	5.691848e-02	5.691848e-02
7.166667e-01	7.333333e-01	5.691882e-02	5.691882e-02	5.691882e-02
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

