# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_H0_boost_C1e
Path=/res/100TeVlambda_oxford/histo_m_H0_boost_C1e
ScaledBy=1
Title=m_H0_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	2.300460e-01	6.030913e-03	6.030913e-03
9.000000e+01	9.600000e+01	2.863322e-01	6.728385e-03	6.728385e-03
9.600000e+01	1.020000e+02	2.817470e-01	6.674298e-03	6.674298e-03
1.020000e+02	1.080000e+02	3.201672e-01	7.114824e-03	7.114824e-03
1.080000e+02	1.140000e+02	4.581947e-01	8.511398e-03	8.511398e-03
1.140000e+02	1.200000e+02	9.173380e-01	1.204316e-02	1.204316e-02
1.200000e+02	1.260000e+02	1.514035e+00	1.547190e-02	1.547190e-02
1.260000e+02	1.320000e+02	1.574906e+00	1.577986e-02	1.577986e-02
1.320000e+02	1.380000e+02	1.036077e+00	1.279887e-02	1.279887e-02
1.380000e+02	1.440000e+02	6.447612e-01	1.009660e-02	1.009660e-02
1.440000e+02	1.500000e+02	4.393800e-01	8.334815e-03	8.334815e-03
1.500000e+02	1.560000e+02	3.369265e-01	7.298664e-03	7.298664e-03
1.560000e+02	1.620000e+02	2.898105e-01	6.769131e-03	6.769131e-03
1.620000e+02	1.680000e+02	1.204777e-01	4.364446e-03	4.364446e-03
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

