# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_subleadSJ_fj2_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_subleadSJ_fj2_boost_C1e
ScaledBy=1
Title=eta_subleadSJ_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	6.908998e-02	1.202702e-02	1.202702e-02
-2.400000e+00	-2.000000e+00	1.968017e+00	6.418965e-02	6.418965e-02
-2.000000e+00	-1.600000e+00	4.945168e+00	1.017515e-01	1.017515e-01
-1.600000e+00	-1.200000e+00	8.343137e+00	1.321646e-01	1.321646e-01
-1.200000e+00	-8.000000e-01	1.020857e+01	1.461951e-01	1.461951e-01
-8.000000e-01	-4.000000e-01	1.160293e+01	1.558599e-01	1.558599e-01
-4.000000e-01	0.000000e+00	1.214099e+01	1.594328e-01	1.594328e-01
0.000000e+00	4.000000e-01	1.198816e+01	1.584261e-01	1.584261e-01
4.000000e-01	8.000000e-01	1.127632e+01	1.536506e-01	1.536506e-01
8.000000e-01	1.200000e+00	1.031116e+01	1.469279e-01	1.469279e-01
1.200000e+00	1.600000e+00	8.129587e+00	1.304622e-01	1.304622e-01
1.600000e+00	2.000000e+00	4.855140e+00	1.008211e-01	1.008211e-01
2.000000e+00	2.400000e+00	1.748186e+00	6.049846e-02	6.049846e-02
2.400000e+00	2.800000e+00	9.211995e-02	1.388761e-02	1.388761e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

