# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_leadSJ_fj1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_pt_leadSJ_fj1_boost_C1e
ScaledBy=1
Title=pt_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.002273e-01	2.894976e-03	2.894976e-03
3.000000e+01	6.000000e+01	2.791514e-05	2.791514e-05	2.791514e-05
6.000000e+01	9.000000e+01	1.842399e-03	2.267837e-04	2.267837e-04
9.000000e+01	1.200000e+02	2.071303e-02	7.603994e-04	7.603994e-04
1.200000e+02	1.500000e+02	6.959243e-02	1.393801e-03	1.393801e-03
1.500000e+02	1.800000e+02	1.320944e-01	1.920269e-03	1.920269e-03
1.800000e+02	2.100000e+02	1.642248e-01	2.141111e-03	2.141111e-03
2.100000e+02	2.400000e+02	1.667930e-01	2.157788e-03	2.157788e-03
2.400000e+02	2.700000e+02	1.463032e-01	2.020910e-03	2.020910e-03
2.700000e+02	3.000000e+02	1.182485e-01	1.816845e-03	1.816845e-03
3.000000e+02	3.300000e+02	1.008853e-01	1.678162e-03	1.678162e-03
3.300000e+02	3.600000e+02	7.880443e-02	1.483185e-03	1.483185e-03
3.600000e+02	3.900000e+02	6.091083e-02	1.303969e-03	1.303969e-03
3.900000e+02	4.200000e+02	4.890733e-02	1.168441e-03	1.168441e-03
4.200000e+02	4.500000e+02	3.687590e-02	1.014591e-03	1.014591e-03
4.500000e+02	4.800000e+02	2.688228e-02	8.662693e-04	8.662693e-04
4.800000e+02	5.100000e+02	2.294624e-02	8.003421e-04	8.003421e-04
5.100000e+02	5.400000e+02	1.655368e-02	6.797781e-04	6.797781e-04
5.400000e+02	5.700000e+02	1.345510e-02	6.128629e-04	6.128629e-04
5.700000e+02	6.000000e+02	9.295740e-03	5.094035e-04	5.094035e-04
6.000000e+02	6.300000e+02	8.262880e-03	4.802702e-04	4.802702e-04
6.300000e+02	6.600000e+02	6.029670e-03	4.102671e-04	4.102671e-04
6.600000e+02	6.900000e+02	4.661827e-03	3.607431e-04	3.607431e-04
6.900000e+02	7.200000e+02	4.019780e-03	3.349816e-04	3.349816e-04
7.200000e+02	7.500000e+02	2.931090e-03	2.860451e-04	2.860451e-04
7.500000e+02	7.800000e+02	2.512363e-03	2.648263e-04	2.648263e-04
7.800000e+02	8.100000e+02	1.981975e-03	2.352171e-04	2.352171e-04
8.100000e+02	8.400000e+02	1.451587e-03	2.012989e-04	2.012989e-04
8.400000e+02	8.700000e+02	1.144521e-03	1.787441e-04	1.787441e-04
8.700000e+02	9.000000e+02	8.095390e-04	1.503276e-04	1.503276e-04
# END HISTO1D

