# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_dR_HH_boost_C2
Path=/res/100TeVlambda_oxford/histo_dR_HH_boost_C2
ScaledBy=1
Title=dR_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-01	3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333333e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	1.000000e+00	2.353882e-02	6.516043e-03	6.516043e-03
1.000000e+00	1.166667e+00	3.465004e-01	2.497844e-02	2.497844e-02
1.166667e+00	1.333333e+00	5.599564e-01	3.172123e-02	3.172123e-02
1.333333e+00	1.500000e+00	5.878788e-01	3.248504e-02	3.248504e-02
1.500000e+00	1.666667e+00	6.420269e-01	3.395826e-02	3.395826e-02
1.666667e+00	1.833333e+00	7.260047e-01	3.610436e-02	3.610436e-02
1.833333e+00	2.000000e+00	6.503351e-01	3.415177e-02	3.415177e-02
2.000000e+00	2.166667e+00	7.008238e-01	3.538008e-02	3.538008e-02
2.166667e+00	2.333333e+00	9.321517e-01	4.082388e-02	4.082388e-02
2.333333e+00	2.500000e+00	1.338023e+00	4.890801e-02	4.890801e-02
2.500000e+00	2.666667e+00	1.844388e+00	5.739524e-02	5.739524e-02
2.666667e+00	2.833333e+00	3.004219e+00	7.319319e-02	7.319319e-02
2.833333e+00	3.000000e+00	5.194857e+00	9.624619e-02	9.624619e-02
3.000000e+00	3.166667e+00	1.078021e+01	1.388338e-01	1.388338e-01
3.166667e+00	3.333333e+00	3.890026e+00	8.335748e-02	8.335748e-02
3.333333e+00	3.500000e+00	1.168710e+00	4.563206e-02	4.563206e-02
3.500000e+00	3.666667e+00	4.066191e-01	2.688006e-02	2.688006e-02
3.666667e+00	3.833333e+00	1.404650e-01	1.576438e-02	1.576438e-02
3.833333e+00	4.000000e+00	6.867862e-02	1.100084e-02	1.100084e-02
4.000000e+00	4.166667e+00	1.314369e-02	4.782466e-03	4.782466e-03
4.166667e+00	4.333333e+00	3.851745e-03	2.556708e-03	2.556708e-03
4.333333e+00	4.500000e+00	5.519143e-03	3.130459e-03	3.130459e-03
4.500000e+00	4.666667e+00	4.970152e-05	3.196704e-05	3.196704e-05
4.666667e+00	4.833333e+00	3.220153e-05	2.838413e-05	2.838413e-05
4.833333e+00	5.000000e+00	1.129500e-06	5.647500e-07	5.647500e-07
# END HISTO1D

