# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_H1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_H1_boost_C1e
ScaledBy=1
Title=eta_H1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.600000e+00	7.677085e+00	1.187999e-01	1.187999e-01
-1.600000e+00	-1.200000e+00	9.954842e+00	1.352805e-01	1.352805e-01
-1.200000e+00	-8.000000e-01	1.163329e+01	1.462410e-01	1.462410e-01
-8.000000e-01	-4.000000e-01	1.277492e+01	1.532488e-01	1.532488e-01
-4.000000e-01	0.000000e+00	1.309296e+01	1.551447e-01	1.551447e-01
0.000000e+00	4.000000e-01	1.308928e+01	1.551229e-01	1.551229e-01
4.000000e-01	8.000000e-01	1.226937e+01	1.501858e-01	1.501858e-01
8.000000e-01	1.200000e+00	1.157078e+01	1.458476e-01	1.458476e-01
1.200000e+00	1.600000e+00	9.914397e+00	1.350054e-01	1.350054e-01
1.600000e+00	2.000000e+00	7.910560e+00	1.205929e-01	1.205929e-01
2.000000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

