# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_largeR_boost_C1b
Path=/res/100TeVlambda_oxford/histo_eta_largeR_boost_C1b
ScaledBy=1
Title=eta_largeR_boost_C1b
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	2.206059e-02	6.368344e-03	6.368344e-03
-5.600000e+00	-5.200000e+00	2.757575e-01	2.251550e-02	2.251550e-02
-5.200000e+00	-4.800000e+00	1.547918e+00	5.334478e-02	5.334478e-02
-4.800000e+00	-4.400000e+00	4.542643e+00	9.138446e-02	9.138446e-02
-4.400000e+00	-4.000000e+00	1.008537e+01	1.361645e-01	1.361645e-01
-4.000000e+00	-3.600000e+00	1.874047e+01	1.856129e-01	1.856129e-01
-3.600000e+00	-3.200000e+00	3.130215e+01	2.398860e-01	2.398860e-01
-3.200000e+00	-2.800000e+00	4.707915e+01	2.941929e-01	2.941929e-01
-2.800000e+00	-2.400000e+00	6.513573e+01	3.460410e-01	3.460410e-01
-2.400000e+00	-2.000000e+00	8.342213e+01	3.916143e-01	3.916143e-01
-2.000000e+00	-1.600000e+00	1.005981e+02	4.300440e-01	4.300440e-01
-1.600000e+00	-1.200000e+00	1.154192e+02	4.606350e-01	4.606350e-01
-1.200000e+00	-8.000000e-01	1.271150e+02	4.834107e-01	4.834107e-01
-8.000000e-01	-4.000000e-01	1.337865e+02	4.959342e-01	4.959342e-01
-4.000000e-01	0.000000e+00	1.358601e+02	4.997629e-01	4.997629e-01
0.000000e+00	4.000000e-01	1.367224e+02	5.013461e-01	5.013461e-01
4.000000e-01	8.000000e-01	1.332055e+02	4.948562e-01	4.948562e-01
8.000000e-01	1.200000e+00	1.269293e+02	4.830575e-01	4.830575e-01
1.200000e+00	1.600000e+00	1.155184e+02	4.608330e-01	4.608330e-01
1.600000e+00	2.000000e+00	1.001735e+02	4.291353e-01	4.291353e-01
2.000000e+00	2.400000e+00	8.309120e+01	3.908368e-01	3.908368e-01
2.400000e+00	2.800000e+00	6.468718e+01	3.448474e-01	3.448474e-01
2.800000e+00	3.200000e+00	4.694492e+01	2.937733e-01	2.937733e-01
3.200000e+00	3.600000e+00	3.146760e+01	2.405192e-01	2.405192e-01
3.600000e+00	4.000000e+00	1.912469e+01	1.875060e-01	1.875060e-01
4.000000e+00	4.400000e+00	9.905205e+00	1.349428e-01	1.349428e-01
4.400000e+00	4.800000e+00	4.469108e+00	9.064177e-02	9.064177e-02
4.800000e+00	5.200000e+00	1.536888e+00	5.315437e-02	5.315437e-02
5.200000e+00	5.600000e+00	3.529695e-01	2.547338e-02	2.547338e-02
5.600000e+00	6.000000e+00	3.676765e-03	2.599865e-03	2.599865e-03
# END HISTO1D

