# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_smallR_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_smallR_boost_C1e
ScaledBy=1
Title=eta_smallR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.770443e+00	7.136619e-02	7.136619e-02
-2.400000e+00	-2.000000e+00	1.644066e+01	1.738511e-01	1.738511e-01
-2.000000e+00	-1.600000e+00	3.273608e+01	2.453190e-01	2.453190e-01
-1.600000e+00	-1.200000e+00	4.684382e+01	2.934568e-01	2.934568e-01
-1.200000e+00	-8.000000e-01	5.680603e+01	3.231581e-01	3.231581e-01
-8.000000e-01	-4.000000e-01	6.304550e+01	3.404435e-01	3.404435e-01
-4.000000e-01	0.000000e+00	6.627185e+01	3.490458e-01	3.490458e-01
0.000000e+00	4.000000e-01	6.631230e+01	3.491524e-01	3.491524e-01
4.000000e-01	8.000000e-01	6.296460e+01	3.402249e-01	3.402249e-01
8.000000e-01	1.200000e+00	5.600265e+01	3.208649e-01	3.208649e-01
1.200000e+00	1.600000e+00	4.728687e+01	2.948413e-01	2.948413e-01
1.600000e+00	2.000000e+00	3.263498e+01	2.449399e-01	2.449399e-01
2.000000e+00	2.400000e+00	1.670354e+01	1.752356e-01	1.752356e-01
2.400000e+00	2.800000e+00	2.775958e+00	7.143719e-02	7.143719e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

