# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_largeR_boost_C1b
Path=/res/100TeVlambda_oxford/histo_pt_largeR_boost_C1b
ScaledBy=1
Title=pt_largeR_boost_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	9.373790e-01	4.793413e-03	4.793413e-03
2.100000e+02	2.400000e+02	2.682176e+00	8.108321e-03	8.108321e-03
2.400000e+02	2.700000e+02	2.617489e+00	8.009949e-03	8.009949e-03
2.700000e+02	3.000000e+02	2.386515e+00	7.648378e-03	7.648378e-03
3.000000e+02	3.300000e+02	2.077715e+00	7.136419e-03	7.136419e-03
3.300000e+02	3.600000e+02	1.745949e+00	6.541887e-03	6.541887e-03
3.600000e+02	3.900000e+02	1.448768e+00	5.959183e-03	5.959183e-03
3.900000e+02	4.200000e+02	1.198969e+00	5.421147e-03	5.421147e-03
4.200000e+02	4.500000e+02	1.000864e+00	4.953075e-03	4.953075e-03
4.500000e+02	4.800000e+02	8.323707e-01	4.516954e-03	4.516954e-03
4.800000e+02	5.100000e+02	7.068703e-01	4.162529e-03	4.162529e-03
5.100000e+02	5.400000e+02	6.053427e-01	3.852014e-03	3.852014e-03
5.400000e+02	5.700000e+02	5.129087e-01	3.545744e-03	3.545744e-03
5.700000e+02	6.000000e+02	4.411137e-01	3.288233e-03	3.288233e-03
6.000000e+02	6.300000e+02	3.860603e-01	3.076202e-03	3.076202e-03
6.300000e+02	6.600000e+02	3.372820e-01	2.875304e-03	2.875304e-03
6.600000e+02	6.900000e+02	2.927931e-01	2.678969e-03	2.678969e-03
6.900000e+02	7.200000e+02	2.578883e-01	2.514219e-03	2.514219e-03
7.200000e+02	7.500000e+02	2.286212e-01	2.367258e-03	2.367258e-03
7.500000e+02	7.800000e+02	2.055557e-01	2.244668e-03	2.244668e-03
7.800000e+02	8.100000e+02	1.866081e-01	2.138713e-03	2.138713e-03
8.100000e+02	8.400000e+02	1.667045e-01	2.021441e-03	2.021441e-03
8.400000e+02	8.700000e+02	1.544486e-01	1.945716e-03	1.945716e-03
8.700000e+02	9.000000e+02	1.359668e-01	1.825592e-03	1.825592e-03
# END HISTO1D

