# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj_inter_C2
Path=/res/100TeVlambda_oxford/histo_tau21_fj_inter_C2
ScaledBy=1
Title=tau21_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.091322e+00	1.915158e-01	1.915158e-01
3.333333e-02	6.666667e-02	9.647908e+00	2.937382e-01	2.937382e-01
6.666667e-02	1.000000e-01	1.255776e+01	3.350626e-01	3.350626e-01
1.000000e-01	1.333333e-01	1.356129e+01	3.481083e-01	3.481083e-01
1.333333e-01	1.666667e-01	1.213396e+01	3.290442e-01	3.290442e-01
1.666667e-01	2.000000e-01	1.116266e+01	3.154878e-01	3.154878e-01
2.000000e-01	2.333333e-01	9.497631e+00	2.906959e-01	2.906959e-01
2.333333e-01	2.666667e-01	8.217428e+00	2.705891e-01	2.705891e-01
2.666667e-01	3.000000e-01	6.417330e+00	2.388295e-01	2.388295e-01
3.000000e-01	3.333333e-01	5.601357e+00	2.227667e-01	2.227667e-01
3.333333e-01	3.666667e-01	4.317579e+00	1.952059e-01	1.952059e-01
3.666667e-01	4.000000e-01	3.667261e+00	1.799318e-01	1.799318e-01
4.000000e-01	4.333333e-01	2.864307e+00	1.591719e-01	1.591719e-01
4.333333e-01	4.666667e-01	2.167050e+00	1.377444e-01	1.377444e-01
4.666667e-01	5.000000e-01	1.688796e+00	1.213591e-01	1.213591e-01
5.000000e-01	5.333333e-01	1.107553e+00	9.746714e-02	9.746714e-02
5.333333e-01	5.666667e-01	7.815926e-01	8.149219e-02	8.149219e-02
5.666667e-01	6.000000e-01	5.361602e-01	6.772057e-02	6.772057e-02
6.000000e-01	6.333333e-01	3.944587e-01	5.793149e-02	5.793149e-02
6.333333e-01	6.666667e-01	2.276588e-01	4.343993e-02	4.343993e-02
6.666667e-01	7.000000e-01	1.426432e-01	3.392089e-02	3.392089e-02
7.000000e-01	7.333333e-01	8.283089e-02	2.567033e-02	2.567033e-02
7.333333e-01	7.666667e-01	5.938689e-02	2.219835e-02	2.219835e-02
7.666667e-01	8.000000e-01	1.962662e-02	1.278566e-02	1.278566e-02
8.000000e-01	8.333333e-01	1.893072e-02	1.278240e-02	1.278240e-02
8.333333e-01	8.666667e-01	1.637951e-04	1.156187e-04	1.156187e-04
8.666667e-01	9.000000e-01	1.200274e-04	1.129945e-04	1.129945e-04
9.000000e-01	9.333333e-01	9.264768e-03	9.037439e-03	9.037439e-03
9.333333e-01	9.666667e-01	2.823750e-06	1.996693e-06	1.996693e-06
9.666667e-01	1.000000e+00	1.411879e-06	1.411879e-06	1.411879e-06
# END HISTO1D

