# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_leadSJ_fj1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_leadSJ_fj1_boost_C1e
ScaledBy=1
Title=eta_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	5.015180e-01	2.839286e-02	2.839286e-02
-2.000000e+00	-1.600000e+00	4.417215e+00	8.426365e-02	8.426365e-02
-1.600000e+00	-1.200000e+00	7.204497e+00	1.076137e-01	1.076137e-01
-1.200000e+00	-8.000000e-01	8.681725e+00	1.181324e-01	1.181324e-01
-8.000000e-01	-4.000000e-01	9.948377e+00	1.264568e-01	1.264568e-01
-4.000000e-01	0.000000e+00	1.050616e+01	1.299535e-01	1.299535e-01
0.000000e+00	4.000000e-01	1.060421e+01	1.305585e-01	1.305585e-01
4.000000e-01	8.000000e-01	9.805317e+00	1.255442e-01	1.255442e-01
8.000000e-01	1.200000e+00	8.697800e+00	1.182417e-01	1.182417e-01
1.200000e+00	1.600000e+00	6.979457e+00	1.059197e-01	1.059197e-01
1.600000e+00	2.000000e+00	4.298265e+00	8.312133e-02	8.312133e-02
2.000000e+00	2.400000e+00	5.642075e-01	3.011517e-02	3.011517e-02
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

