# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_smallR_boost_C2
Path=/res/100TeVlambda_oxford/histo_eta_smallR_boost_C2
ScaledBy=1
Title=eta_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.700243e-01	1.326936e-02	1.326936e-02
-2.400000e+00	-2.000000e+00	1.666882e+00	3.294405e-02	3.294405e-02
-2.000000e+00	-1.600000e+00	3.469955e+00	4.751726e-02	4.751726e-02
-1.600000e+00	-1.200000e+00	5.248160e+00	5.845287e-02	5.845287e-02
-1.200000e+00	-8.000000e-01	6.441593e+00	6.473181e-02	6.473181e-02
-8.000000e-01	-4.000000e-01	7.285620e+00	6.885433e-02	6.885433e-02
-4.000000e-01	0.000000e+00	7.692175e+00	7.073845e-02	7.073845e-02
0.000000e+00	4.000000e-01	7.637392e+00	7.047285e-02	7.047285e-02
4.000000e-01	8.000000e-01	7.207877e+00	6.848405e-02	6.848405e-02
8.000000e-01	1.200000e+00	6.309595e+00	6.405140e-02	6.405140e-02
1.200000e+00	1.600000e+00	5.246450e+00	5.841946e-02	5.841946e-02
1.600000e+00	2.000000e+00	3.341755e+00	4.662802e-02	4.662802e-02
2.000000e+00	2.400000e+00	1.654118e+00	3.280639e-02	3.280639e-02
2.400000e+00	2.800000e+00	2.622233e-01	1.305738e-02	1.305738e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

