# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_phi_H0_inter_C1d
Path=/res/100TeVlambda_oxford/histo_phi_H0_inter_C1d
ScaledBy=1
Title=phi_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.749495e+01	2.314422e-01	2.314422e-01
2.100000e-01	4.200000e-01	1.750108e+01	2.314827e-01	2.314827e-01
4.200000e-01	6.300000e-01	1.772152e+01	2.329361e-01	2.329361e-01
6.300000e-01	8.400000e-01	1.772459e+01	2.329562e-01	2.329562e-01
8.400000e-01	1.050000e+00	1.886356e+01	2.403246e-01	2.403246e-01
1.050000e+00	1.260000e+00	1.807057e+01	2.352189e-01	2.352189e-01
1.260000e+00	1.470000e+00	1.790523e+01	2.341403e-01	2.341403e-01
1.470000e+00	1.680000e+00	1.756537e+01	2.319076e-01	2.319076e-01
1.680000e+00	1.890000e+00	1.720715e+01	2.295306e-01	2.295306e-01
1.890000e+00	2.100000e+00	1.716122e+01	2.292241e-01	2.292241e-01
2.100000e+00	2.310000e+00	1.765110e+01	2.324728e-01	2.324728e-01
2.310000e+00	2.520000e+00	1.742760e+01	2.309963e-01	2.309963e-01
2.520000e+00	2.730000e+00	1.770315e+01	2.328153e-01	2.328153e-01
2.730000e+00	2.940000e+00	1.743371e+01	2.310369e-01	2.310369e-01
2.940000e+00	3.150000e+00	1.841348e+01	2.374402e-01	2.374402e-01
# END HISTO1D

