# BEGIN HISTO1D /res/baseline_100TeV_oxford/histo_m_H0_inter_C1d
Path=/res/baseline_100TeV_oxford/histo_m_H0_inter_C1d
ScaledBy=1
Title=m_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	1.455490e-03	1.648017e-04	1.648017e-04
6.000000e+00	1.200000e+01	1.342409e-01	1.582704e-03	1.582704e-03
1.200000e+01	1.800000e+01	5.546162e-01	3.217019e-03	3.217019e-03
1.800000e+01	2.400000e+01	9.824182e-01	4.281594e-03	4.281594e-03
2.400000e+01	3.000000e+01	1.131998e+00	4.596000e-03	4.596000e-03
3.000000e+01	3.600000e+01	1.060044e+00	4.447534e-03	4.447534e-03
3.600000e+01	4.200000e+01	9.277253e-01	4.160705e-03	4.160705e-03
4.200000e+01	4.800000e+01	8.011910e-01	3.866565e-03	3.866565e-03
4.800000e+01	5.400000e+01	6.791725e-01	3.559978e-03	3.559978e-03
5.400000e+01	6.000000e+01	5.741720e-01	3.273243e-03	3.273243e-03
6.000000e+01	6.600000e+01	4.934670e-01	3.034494e-03	3.034494e-03
6.600000e+01	7.200000e+01	4.388302e-01	2.861577e-03	2.861577e-03
7.200000e+01	7.800000e+01	4.044768e-01	2.747288e-03	2.747288e-03
7.800000e+01	8.400000e+01	3.642270e-01	2.607014e-03	2.607014e-03
8.400000e+01	9.000000e+01	3.433463e-01	2.531182e-03	2.531182e-03
9.000000e+01	9.600000e+01	3.225588e-01	2.453363e-03	2.453363e-03
9.600000e+01	1.020000e+02	3.087690e-01	2.400348e-03	2.400348e-03
1.020000e+02	1.080000e+02	3.229880e-01	2.454994e-03	2.454994e-03
1.080000e+02	1.140000e+02	4.229877e-01	2.809449e-03	2.809449e-03
1.140000e+02	1.200000e+02	8.084498e-01	3.884041e-03	3.884041e-03
1.200000e+02	1.260000e+02	1.305593e+00	4.935841e-03	4.935841e-03
1.260000e+02	1.320000e+02	1.185048e+00	4.702462e-03	4.702462e-03
1.320000e+02	1.380000e+02	6.740223e-01	3.546454e-03	3.546454e-03
1.380000e+02	1.440000e+02	3.668580e-01	2.616413e-03	2.616413e-03
1.440000e+02	1.500000e+02	2.328783e-01	2.084596e-03	2.084596e-03
1.500000e+02	1.560000e+02	1.768420e-01	1.816561e-03	1.816561e-03
1.560000e+02	1.620000e+02	1.437203e-01	1.637632e-03	1.637632e-03
1.620000e+02	1.680000e+02	1.193688e-01	1.492460e-03	1.492460e-03
1.680000e+02	1.740000e+02	9.902928e-02	1.359374e-03	1.359374e-03
1.740000e+02	1.800000e+02	8.951262e-02	1.292407e-03	1.292407e-03
# END HISTO1D

