# BEGIN HISTO1D /res/baseline_100TeV_oxford/histo_m_smallR_boost_C1e
Path=/res/baseline_100TeV_oxford/histo_m_smallR_boost_C1e
ScaledBy=1
Title=m_smallR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	6.293910e+00	1.083721e-02	1.083721e-02
6.000000e+00	1.200000e+01	1.098913e+01	1.431987e-02	1.431987e-02
1.200000e+01	1.800000e+01	5.609588e+00	1.023111e-02	1.023111e-02
1.800000e+01	2.400000e+01	3.022903e+00	7.510509e-03	7.510509e-03
2.400000e+01	3.000000e+01	1.781108e+00	5.765043e-03	5.765043e-03
3.000000e+01	3.600000e+01	1.120578e+00	4.572758e-03	4.572758e-03
3.600000e+01	4.200000e+01	7.358247e-01	3.705480e-03	3.705480e-03
4.200000e+01	4.800000e+01	5.031143e-01	3.064013e-03	3.064013e-03
4.800000e+01	5.400000e+01	3.604950e-01	2.593623e-03	2.593623e-03
5.400000e+01	6.000000e+01	2.683885e-01	2.237893e-03	2.237893e-03
6.000000e+01	6.600000e+01	2.038245e-01	1.950229e-03	1.950229e-03
6.600000e+01	7.200000e+01	1.632014e-01	1.745096e-03	1.745096e-03
7.200000e+01	7.800000e+01	1.301544e-01	1.558428e-03	1.558428e-03
7.800000e+01	8.400000e+01	1.092364e-01	1.427713e-03	1.427713e-03
8.400000e+01	9.000000e+01	9.253555e-02	1.314049e-03	1.314049e-03
9.000000e+01	9.600000e+01	7.736487e-02	1.201515e-03	1.201515e-03
9.600000e+01	1.020000e+02	7.404337e-02	1.175440e-03	1.175440e-03
1.020000e+02	1.080000e+02	8.533275e-02	1.261872e-03	1.261872e-03
1.080000e+02	1.140000e+02	1.083780e-01	1.422092e-03	1.422092e-03
1.140000e+02	1.200000e+02	1.290348e-01	1.551710e-03	1.551710e-03
1.200000e+02	1.260000e+02	1.225224e-01	1.512046e-03	1.512046e-03
1.260000e+02	1.320000e+02	9.781637e-02	1.351024e-03	1.351024e-03
1.320000e+02	1.380000e+02	6.553435e-02	1.105839e-03	1.105839e-03
1.380000e+02	1.440000e+02	4.174270e-02	8.825666e-04	8.825666e-04
1.440000e+02	1.500000e+02	2.472467e-02	6.792387e-04	6.792387e-04
1.500000e+02	1.560000e+02	1.343529e-02	5.007037e-04	5.007037e-04
1.560000e+02	1.620000e+02	5.896598e-03	3.317096e-04	3.317096e-04
1.620000e+02	1.680000e+02	1.492810e-03	1.669013e-04	1.669013e-04
1.680000e+02	1.740000e+02	3.732025e-04	8.345062e-05	8.345062e-05
1.740000e+02	1.800000e+02	2.612417e-04	6.981979e-05	6.981979e-05
# END HISTO1D

