# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_C2_fj_inter_C1d
Path=/res/100TeVlambda_oxford/histo_C2_fj_inter_C1d
ScaledBy=1
Title=C2_fj_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	2.518588e+02	2.710510e+00	2.710510e+00
1.666667e-02	3.333333e-02	3.636406e+02	3.256933e+00	3.256933e+00
3.333333e-02	5.000000e-02	3.751336e+02	3.308000e+00	3.308000e+00
5.000000e-02	6.666667e-02	3.505719e+02	3.197872e+00	3.197872e+00
6.666667e-02	8.333333e-02	3.354910e+02	3.128334e+00	3.128334e+00
8.333333e-02	1.000000e-01	3.228599e+02	3.068878e+00	3.068878e+00
1.000000e-01	1.166667e-01	3.157417e+02	3.034856e+00	3.034856e+00
1.166667e-01	1.333333e-01	2.975995e+02	2.946385e+00	2.946385e+00
1.333333e-01	1.500000e-01	2.831874e+02	2.874148e+00	2.874148e+00
1.500000e-01	1.666667e-01	2.686897e+02	2.799611e+00	2.799611e+00
1.666667e-01	1.833333e-01	2.467841e+02	2.683070e+00	2.683070e+00
1.833333e-01	2.000000e-01	2.317890e+02	2.600270e+00	2.600270e+00
2.000000e-01	2.166667e-01	2.184872e+02	2.524557e+00	2.524557e+00
2.166667e-01	2.333333e-01	1.966105e+02	2.394842e+00	2.394842e+00
2.333333e-01	2.500000e-01	1.804780e+02	2.294480e+00	2.294480e+00
2.500000e-01	2.666667e-01	1.595919e+02	2.157633e+00	2.157633e+00
2.666667e-01	2.833333e-01	1.449492e+02	2.056276e+00	2.056276e+00
2.833333e-01	3.000000e-01	1.257249e+02	1.915062e+00	1.915062e+00
3.000000e-01	3.166667e-01	1.080476e+02	1.775332e+00	1.775332e+00
3.166667e-01	3.333333e-01	9.349207e+01	1.651433e+00	1.651433e+00
3.333333e-01	3.500000e-01	7.905212e+01	1.518549e+00	1.518549e+00
3.500000e-01	3.666667e-01	6.741311e+01	1.402311e+00	1.402311e+00
3.666667e-01	3.833333e-01	5.466589e+01	1.262791e+00	1.262791e+00
3.833333e-01	4.000000e-01	4.512680e+01	1.147333e+00	1.147333e+00
4.000000e-01	4.166667e-01	3.631730e+01	1.029269e+00	1.029269e+00
4.166667e-01	4.333333e-01	3.127099e+01	9.550898e-01	9.550898e-01
4.333333e-01	4.500000e-01	2.526167e+01	8.584266e-01	8.584266e-01
4.500000e-01	4.666667e-01	1.823158e+01	7.292632e-01	7.292632e-01
4.666667e-01	4.833333e-01	1.484789e+01	6.581209e-01	6.581209e-01
4.833333e-01	5.000000e-01	1.198909e+01	5.913779e-01	5.913779e-01
5.000000e-01	5.166667e-01	9.217884e+00	5.185465e-01	5.185465e-01
5.166667e-01	5.333333e-01	7.146821e+00	4.565936e-01	4.565936e-01
5.333333e-01	5.500000e-01	5.425717e+00	3.978329e-01	3.978329e-01
5.500000e-01	5.666667e-01	3.879679e+00	3.364109e-01	3.364109e-01
5.666667e-01	5.833333e-01	3.121265e+00	3.017441e-01	3.017441e-01
5.833333e-01	6.000000e-01	2.216960e+00	2.543028e-01	2.543028e-01
6.000000e-01	6.166667e-01	1.458526e+00	2.062667e-01	2.062667e-01
6.166667e-01	6.333333e-01	1.108486e+00	1.798203e-01	1.798203e-01
6.333333e-01	6.500000e-01	6.125808e-01	1.336761e-01	1.336761e-01
6.500000e-01	6.666667e-01	4.958989e-01	1.202732e-01	1.202732e-01
6.666667e-01	6.833333e-01	2.917069e-01	9.224584e-02	9.224584e-02
6.833333e-01	7.000000e-01	2.333642e-01	8.250671e-02	8.250671e-02
7.000000e-01	7.166667e-01	1.166821e-01	5.834105e-02	5.834105e-02
7.166667e-01	7.333333e-01	1.166828e-01	5.834140e-02	5.834140e-02
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	2.917052e-02	2.917052e-02	2.917052e-02
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

