# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_smallR_boost_C1c
Path=/res/100TeVlambda_oxford/histo_m_smallR_boost_C1c
ScaledBy=1
Title=m_smallR_boost_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	2.071508e+01	4.096987e-02	4.096987e-02
6.000000e+00	1.200000e+01	3.490260e+01	5.318022e-02	5.318022e-02
1.200000e+01	1.800000e+01	1.872768e+01	3.895500e-02	3.895500e-02
1.800000e+01	2.400000e+01	1.098280e+01	2.983169e-02	2.983169e-02
2.400000e+01	3.000000e+01	6.962855e+00	2.375281e-02	2.375281e-02
3.000000e+01	3.600000e+01	4.661215e+00	1.943439e-02	1.943439e-02
3.600000e+01	4.200000e+01	3.188830e+00	1.607448e-02	1.607448e-02
4.200000e+01	4.800000e+01	2.267445e+00	1.355469e-02	1.355469e-02
4.800000e+01	5.400000e+01	1.623262e+00	1.146874e-02	1.146874e-02
5.400000e+01	6.000000e+01	1.222572e+00	9.953101e-03	9.953101e-03
6.000000e+01	6.600000e+01	9.083395e-01	8.579172e-03	8.579172e-03
6.600000e+01	7.200000e+01	6.859138e-01	7.455144e-03	7.455144e-03
7.200000e+01	7.800000e+01	5.605613e-01	6.739580e-03	6.739580e-03
7.800000e+01	8.400000e+01	4.489028e-01	6.031114e-03	6.031114e-03
8.400000e+01	9.000000e+01	3.663338e-01	5.448285e-03	5.448285e-03
9.000000e+01	9.600000e+01	3.391080e-01	5.241919e-03	5.241919e-03
9.600000e+01	1.020000e+02	3.376495e-01	5.230634e-03	5.230634e-03
1.020000e+02	1.080000e+02	3.849707e-01	5.585154e-03	5.585154e-03
1.080000e+02	1.140000e+02	4.679447e-01	6.157701e-03	6.157701e-03
1.140000e+02	1.200000e+02	5.281495e-01	6.541838e-03	6.541838e-03
1.200000e+02	1.260000e+02	5.238550e-01	6.515187e-03	6.515187e-03
1.260000e+02	1.320000e+02	4.735358e-01	6.194377e-03	6.194377e-03
1.320000e+02	1.380000e+02	3.672252e-01	5.454909e-03	5.454909e-03
1.380000e+02	1.440000e+02	2.747707e-01	4.718527e-03	4.718527e-03
1.440000e+02	1.500000e+02	2.020063e-01	4.045793e-03	4.045793e-03
1.500000e+02	1.560000e+02	1.459339e-01	3.438741e-03	3.438741e-03
1.560000e+02	1.620000e+02	1.066347e-01	2.939480e-03	2.939480e-03
1.620000e+02	1.680000e+02	8.799792e-02	2.670284e-03	2.670284e-03
1.680000e+02	1.740000e+02	7.203513e-02	2.415981e-03	2.415981e-03
1.740000e+02	1.800000e+02	5.866528e-02	2.180278e-03	2.180278e-03
# END HISTO1D

