# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_phi_H0_res_C2
Path=/res/100TeVlambda_oxford/histo_phi_H0_res_C2
ScaledBy=1
Title=phi_H0_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.608779e+00	3.655450e-02	3.655450e-02
2.100000e-01	4.200000e-01	1.606543e+00	3.663594e-02	3.663594e-02
4.200000e-01	6.300000e-01	1.666233e+00	3.742248e-02	3.742248e-02
6.300000e-01	8.400000e-01	1.639314e+00	3.696118e-02	3.696118e-02
8.400000e-01	1.050000e+00	1.637207e+00	3.696796e-02	3.696796e-02
1.050000e+00	1.260000e+00	1.565115e+00	3.604913e-02	3.604913e-02
1.260000e+00	1.470000e+00	1.613867e+00	3.665838e-02	3.665838e-02
1.470000e+00	1.680000e+00	1.614714e+00	3.661303e-02	3.661303e-02
1.680000e+00	1.890000e+00	1.571729e+00	3.611503e-02	3.611503e-02
1.890000e+00	2.100000e+00	1.604493e+00	3.663947e-02	3.663947e-02
2.100000e+00	2.310000e+00	1.674627e+00	3.741796e-02	3.741796e-02
2.310000e+00	2.520000e+00	1.664289e+00	3.717640e-02	3.717640e-02
2.520000e+00	2.730000e+00	1.612235e+00	3.666390e-02	3.666390e-02
2.730000e+00	2.940000e+00	1.594466e+00	3.639080e-02	3.639080e-02
2.940000e+00	3.150000e+00	1.565525e+00	3.620714e-02	3.620714e-02
# END HISTO1D

