# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj1_boost_C2
Path=/res/100TeVlambda_oxford/histo_tau21_fj1_boost_C2
ScaledBy=1
Title=tau21_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	5.289940e+00	1.772482e-01	1.772482e-01
3.333333e-02	6.666667e-02	1.225793e+01	2.696257e-01	2.696257e-01
6.666667e-02	1.000000e-01	1.611307e+01	3.092164e-01	3.092164e-01
1.000000e-01	1.333333e-01	1.648796e+01	3.126765e-01	3.126765e-01
1.333333e-01	1.666667e-01	1.454127e+01	2.936405e-01	2.936405e-01
1.666667e-01	2.000000e-01	1.317094e+01	2.793193e-01	2.793193e-01
2.000000e-01	2.333333e-01	1.200553e+01	2.666352e-01	2.666352e-01
2.333333e-01	2.666667e-01	1.030948e+01	2.470373e-01	2.470373e-01
2.666667e-01	3.000000e-01	8.553114e+00	2.247290e-01	2.247290e-01
3.000000e-01	3.333333e-01	6.858748e+00	2.011664e-01	2.011664e-01
3.333333e-01	3.666667e-01	5.484508e+00	1.797955e-01	1.797955e-01
3.666667e-01	4.000000e-01	4.480492e+00	1.621709e-01	1.621709e-01
4.000000e-01	4.333333e-01	3.498513e+00	1.432148e-01	1.432148e-01
4.333333e-01	4.666667e-01	2.978452e+00	1.321789e-01	1.321789e-01
4.666667e-01	5.000000e-01	2.249526e+00	1.146773e-01	1.146773e-01
5.000000e-01	5.333333e-01	1.475104e+00	9.278733e-02	9.278733e-02
5.333333e-01	5.666667e-01	1.237249e+00	8.476399e-02	8.476399e-02
5.666667e-01	6.000000e-01	9.566818e-01	7.443648e-02	7.443648e-02
6.000000e-01	6.333333e-01	5.619444e-01	5.674012e-02	5.674012e-02
6.333333e-01	6.666667e-01	4.018765e-01	4.785528e-02	4.785528e-02
6.666667e-01	7.000000e-01	2.922386e-01	4.099139e-02	4.099139e-02
7.000000e-01	7.333333e-01	1.901056e-01	3.277224e-02	3.277224e-02
7.333333e-01	7.666667e-01	1.525068e-01	2.932994e-02	2.932994e-02
7.666667e-01	8.000000e-01	9.254379e-02	2.315318e-02	2.315318e-02
8.000000e-01	8.333333e-01	5.566137e-02	1.794017e-02	1.794017e-02
8.333333e-01	8.666667e-01	4.863347e-02	1.689913e-02	1.689913e-02
8.666667e-01	9.000000e-01	2.423821e-02	1.194923e-02	1.194923e-02
9.000000e-01	9.333333e-01	1.831261e-02	1.034887e-02	1.034887e-02
9.333333e-01	9.666667e-01	2.305755e-04	1.293671e-04	1.293671e-04
9.666667e-01	1.000000e+00	5.976942e-03	5.974141e-03	5.974141e-03
# END HISTO1D

