# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_H1_inter_C1d
Path=/res/100TeVlambda_oxford/histo_m_H1_inter_C1d
ScaledBy=1
Title=m_H1_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	4.288528e-03	5.490897e-04	5.490897e-04
6.000000e+00	1.200000e+01	2.159028e-01	3.895994e-03	3.895994e-03
1.200000e+01	1.800000e+01	6.400452e-01	6.708022e-03	6.708022e-03
1.800000e+01	2.400000e+01	7.715132e-01	7.364798e-03	7.364798e-03
2.400000e+01	3.000000e+01	7.255345e-01	7.141973e-03	7.141973e-03
3.000000e+01	3.600000e+01	6.319603e-01	6.665521e-03	6.665521e-03
3.600000e+01	4.200000e+01	5.210913e-01	6.052658e-03	6.052658e-03
4.200000e+01	4.800000e+01	4.507172e-01	5.629131e-03	5.629131e-03
4.800000e+01	5.400000e+01	3.987628e-01	5.294762e-03	5.294762e-03
5.400000e+01	6.000000e+01	3.584787e-01	5.020199e-03	5.020199e-03
6.000000e+01	6.600000e+01	3.378095e-01	4.873322e-03	4.873322e-03
6.600000e+01	7.200000e+01	3.129220e-01	4.690371e-03	4.690371e-03
7.200000e+01	7.800000e+01	2.859253e-01	4.483483e-03	4.483483e-03
7.800000e+01	8.400000e+01	2.703178e-01	4.359399e-03	4.359399e-03
8.400000e+01	9.000000e+01	2.572413e-01	4.252650e-03	4.252650e-03
9.000000e+01	9.600000e+01	2.623735e-01	4.294862e-03	4.294862e-03
9.600000e+01	1.020000e+02	2.642015e-01	4.309797e-03	4.309797e-03
1.020000e+02	1.080000e+02	3.156638e-01	4.710875e-03	4.710875e-03
1.080000e+02	1.140000e+02	4.393280e-01	5.557552e-03	5.557552e-03
1.140000e+02	1.200000e+02	7.659592e-01	7.338243e-03	7.338243e-03
1.200000e+02	1.260000e+02	1.010616e+00	8.429121e-03	8.429121e-03
1.260000e+02	1.320000e+02	7.966117e-01	7.483634e-03	7.483634e-03
1.320000e+02	1.380000e+02	4.580288e-01	5.674605e-03	5.674605e-03
1.380000e+02	1.440000e+02	2.739737e-01	4.388778e-03	4.388778e-03
1.440000e+02	1.500000e+02	2.052868e-01	3.799005e-03	3.799005e-03
1.500000e+02	1.560000e+02	1.707678e-01	3.464911e-03	3.464911e-03
1.560000e+02	1.620000e+02	1.508015e-01	3.256057e-03	3.256057e-03
1.620000e+02	1.680000e+02	1.335771e-01	3.064469e-03	3.064469e-03
1.680000e+02	1.740000e+02	1.191648e-01	2.894431e-03	2.894431e-03
1.740000e+02	1.800000e+02	1.107987e-01	2.790979e-03	2.790979e-03
# END HISTO1D

