# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_largeR_boost_C1e
Path=/res/100TeVlambda_oxford/histo_eta_largeR_boost_C1e
ScaledBy=1
Title=eta_largeR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.600000e+00	1.033589e+01	9.110838e-02	9.110838e-02
-1.600000e+00	-1.200000e+00	1.315315e+01	1.027779e-01	1.027779e-01
-1.200000e+00	-8.000000e-01	1.590377e+01	1.130146e-01	1.130146e-01
-8.000000e-01	-4.000000e-01	1.725699e+01	1.177246e-01	1.177246e-01
-4.000000e-01	0.000000e+00	1.783442e+01	1.196779e-01	1.196779e-01
0.000000e+00	4.000000e-01	1.806973e+01	1.204649e-01	1.204649e-01
4.000000e-01	8.000000e-01	1.715420e+01	1.173734e-01	1.173734e-01
8.000000e-01	1.200000e+00	1.560662e+01	1.119538e-01	1.119538e-01
1.200000e+00	1.600000e+00	1.338123e+01	1.036651e-01	1.036651e-01
1.600000e+00	2.000000e+00	1.035677e+01	9.120036e-02	9.120036e-02
2.000000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

