# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_leadSJ_fj_inter_C2
Path=/res/100TeVlambda_oxford/histo_eta_leadSJ_fj_inter_C2
ScaledBy=1
Title=eta_leadSJ_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	6.916645e-02	4.745299e-03	4.745299e-03
-2.000000e+00	-1.600000e+00	3.730678e-01	1.100329e-02	1.100329e-02
-1.600000e+00	-1.200000e+00	5.564607e-01	1.344021e-02	1.344021e-02
-1.200000e+00	-8.000000e-01	5.846888e-01	1.377080e-02	1.377080e-02
-8.000000e-01	-4.000000e-01	5.811592e-01	1.373426e-02	1.373426e-02
-4.000000e-01	0.000000e+00	5.621660e-01	1.350058e-02	1.350058e-02
0.000000e+00	4.000000e-01	5.509360e-01	1.336391e-02	1.336391e-02
4.000000e-01	8.000000e-01	6.095205e-01	1.406251e-02	1.406251e-02
8.000000e-01	1.200000e+00	5.794805e-01	1.370775e-02	1.370775e-02
1.200000e+00	1.600000e+00	5.611445e-01	1.349273e-02	1.349273e-02
1.600000e+00	2.000000e+00	3.541645e-01	1.071904e-02	1.071904e-02
2.000000e+00	2.400000e+00	6.406873e-02	4.549404e-03	4.549404e-03
2.400000e+00	2.800000e+00	4.523055e-05	4.132375e-05	4.132375e-05
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

