# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_chi_HH_boost_C2
Path=/res/100TeVlambda_oxford/histo_chi_HH_boost_C2
ScaledBy=1
Title=chi_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	2.368298e+00	1.656091e-02	1.656091e-02
2.000000e+00	3.000000e+00	8.011644e-01	9.628753e-03	9.628753e-03
3.000000e+00	4.000000e+00	3.254152e-01	6.132386e-03	6.132386e-03
4.000000e+00	5.000000e+00	1.418747e-01	4.044306e-03	4.044306e-03
5.000000e+00	6.000000e+00	7.274599e-02	2.897417e-03	2.897417e-03
6.000000e+00	7.000000e+00	4.237688e-02	2.210747e-03	2.210747e-03
7.000000e+00	8.000000e+00	2.503356e-02	1.697280e-03	1.697280e-03
8.000000e+00	9.000000e+00	1.526931e-02	1.326937e-03	1.326937e-03
9.000000e+00	1.000000e+01	1.130931e-02	1.144499e-03	1.144499e-03
1.000000e+01	1.100000e+01	5.138822e-03	7.662368e-04	7.662368e-04
1.100000e+01	1.200000e+01	5.109489e-03	7.663354e-04	7.663354e-04
1.200000e+01	1.300000e+01	3.008166e-03	5.845772e-04	5.845772e-04
1.300000e+01	1.400000e+01	1.813506e-03	4.528695e-04	4.528695e-04
1.400000e+01	1.500000e+01	1.542793e-03	4.211496e-04	4.211496e-04
1.500000e+01	1.600000e+01	1.668576e-03	4.372789e-04	4.372789e-04
1.600000e+01	1.700000e+01	6.017367e-04	2.612095e-04	2.612095e-04
1.700000e+01	1.800000e+01	6.110890e-04	2.616033e-04	2.616033e-04
1.800000e+01	1.900000e+01	7.117047e-04	2.861136e-04	2.861136e-04
1.900000e+01	2.000000e+01	4.775320e-04	2.336168e-04	2.336168e-04
2.000000e+01	2.100000e+01	3.603141e-04	2.023273e-04	2.023273e-04
2.100000e+01	2.200000e+01	3.748060e-04	2.028560e-04	2.028560e-04
2.200000e+01	2.300000e+01	4.680579e-04	2.335907e-04	2.335907e-04
2.300000e+01	2.400000e+01	2.371498e-04	1.651866e-04	1.651866e-04
2.400000e+01	2.500000e+01	3.690187e-04	2.028351e-04	2.028351e-04
2.500000e+01	2.600000e+01	1.333503e-04	1.177134e-04	1.177134e-04
2.600000e+01	2.700000e+01	1.172903e-04	1.167955e-04	1.167955e-04
2.700000e+01	2.800000e+01	2.355801e-04	1.651801e-04	1.651801e-04
2.800000e+01	2.900000e+01	3.522563e-06	2.081776e-06	2.081776e-06
2.900000e+01	3.000000e+01	2.554896e-07	1.861067e-07	1.861067e-07
# END HISTO1D

