# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_largeR_boost_C1c
Path=/res/100TeVlambda_oxford/histo_eta_largeR_boost_C1c
ScaledBy=1
Title=eta_largeR_boost_C1c
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.600000e+00	3.835480e+01	1.653532e-01	1.653532e-01
-1.600000e+00	-1.200000e+00	4.718075e+01	1.833940e-01	1.833940e-01
-1.200000e+00	-8.000000e-01	5.438708e+01	1.969021e-01	1.969021e-01
-8.000000e-01	-4.000000e-01	5.919033e+01	2.054130e-01	2.054130e-01
-4.000000e-01	0.000000e+00	6.083277e+01	2.082435e-01	2.082435e-01
0.000000e+00	4.000000e-01	6.134815e+01	2.091238e-01	2.091238e-01
4.000000e-01	8.000000e-01	5.892800e+01	2.049573e-01	2.049573e-01
8.000000e-01	1.200000e+00	5.402423e+01	1.962442e-01	1.962442e-01
1.200000e+00	1.600000e+00	4.685782e+01	1.827653e-01	1.827653e-01
1.600000e+00	2.000000e+00	3.795988e+01	1.644997e-01	1.644997e-01
2.000000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

