# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_leadSJ_fj_inter_C2
Path=/res/100TeVlambda_oxford/histo_pt_leadSJ_fj_inter_C2
ScaledBy=1
Title=pt_leadSJ_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.952899e-07	9.733128e-08	9.733128e-08
6.000000e+01	9.000000e+01	5.115510e-04	4.375141e-05	4.375141e-05
9.000000e+01	1.200000e+02	4.212020e-03	1.265923e-04	1.265923e-04
1.200000e+02	1.500000e+02	1.299458e-02	2.235488e-04	2.235488e-04
1.500000e+02	1.800000e+02	1.438081e-02	2.351999e-04	2.351999e-04
1.800000e+02	2.100000e+02	1.051253e-02	2.011276e-04	2.011276e-04
2.100000e+02	2.400000e+02	7.218117e-03	1.665673e-04	1.665673e-04
2.400000e+02	2.700000e+02	4.823050e-03	1.361041e-04	1.361041e-04
2.700000e+02	3.000000e+02	3.193908e-03	1.107795e-04	1.107795e-04
3.000000e+02	3.300000e+02	2.181670e-03	9.143768e-05	9.143768e-05
3.300000e+02	3.600000e+02	1.631698e-03	7.906502e-05	7.906502e-05
3.600000e+02	3.900000e+02	1.234155e-03	6.870391e-05	6.870391e-05
3.900000e+02	4.200000e+02	7.838730e-04	5.468395e-05	5.468395e-05
4.200000e+02	4.500000e+02	6.949917e-04	5.153932e-05	5.153932e-05
4.500000e+02	4.800000e+02	4.909860e-04	4.321872e-05	4.321872e-05
4.800000e+02	5.100000e+02	3.511663e-04	3.636832e-05	3.636832e-05
5.100000e+02	5.400000e+02	2.221505e-04	2.891247e-05	2.891247e-05
5.400000e+02	5.700000e+02	2.139960e-04	2.862322e-05	2.862322e-05
5.700000e+02	6.000000e+02	1.804957e-04	2.614966e-05	2.614966e-05
6.000000e+02	6.300000e+02	9.930117e-05	1.947378e-05	1.947378e-05
6.300000e+02	6.600000e+02	8.812630e-05	1.827552e-05	1.827552e-05
6.600000e+02	6.900000e+02	9.736483e-05	1.911108e-05	1.911108e-05
6.900000e+02	7.200000e+02	1.325566e-05	6.764573e-06	6.764573e-06
7.200000e+02	7.500000e+02	5.248913e-05	1.405543e-05	1.405543e-05
7.500000e+02	7.800000e+02	2.480084e-05	9.562217e-06	9.562217e-06
7.800000e+02	8.100000e+02	1.236874e-05	6.761418e-06	6.761418e-06
8.100000e+02	8.400000e+02	2.375202e-05	9.537286e-06	9.537286e-06
8.400000e+02	8.700000e+02	1.625827e-05	7.802151e-06	7.802151e-06
8.700000e+02	9.000000e+02	1.227324e-05	6.761068e-06	6.761068e-06
# END HISTO1D

