# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_smallR_inter_C1e
Path=/res/100TeVlambda_oxford/histo_eta_smallR_inter_C1e
ScaledBy=1
Title=eta_smallR_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.114097e+00	6.774002e-02	6.774002e-02
-2.400000e+00	-2.000000e+00	1.028180e+01	1.493886e-01	1.493886e-01
-2.000000e+00	-1.600000e+00	1.189885e+01	1.607072e-01	1.607072e-01
-1.600000e+00	-1.200000e+00	1.360054e+01	1.718150e-01	1.718150e-01
-1.200000e+00	-8.000000e-01	1.481170e+01	1.793021e-01	1.793021e-01
-8.000000e-01	-4.000000e-01	1.556053e+01	1.837787e-01	1.837787e-01
-4.000000e-01	0.000000e+00	1.588611e+01	1.856914e-01	1.856914e-01
0.000000e+00	4.000000e-01	1.589479e+01	1.857421e-01	1.857421e-01
4.000000e-01	8.000000e-01	1.566906e+01	1.844185e-01	1.844185e-01
8.000000e-01	1.200000e+00	1.446442e+01	1.771876e-01	1.771876e-01
1.200000e+00	1.600000e+00	1.322287e+01	1.694126e-01	1.694126e-01
1.600000e+00	2.000000e+00	1.146908e+01	1.577783e-01	1.577783e-01
2.000000e+00	2.400000e+00	9.819480e+00	1.459914e-01	1.459914e-01
2.400000e+00	2.800000e+00	2.107585e+00	6.763562e-02	6.763562e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

