# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_H0_res_C1d
Path=/res/100TeVlambda_oxford/histo_m_H0_res_C1d
ScaledBy=1
Title=m_H0_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	1.447020e-04	1.447020e-04	1.447020e-04
1.800000e+01	2.400000e+01	4.341060e-04	2.506313e-04	2.506313e-04
2.400000e+01	3.000000e+01	1.258908e-02	1.349691e-03	1.349691e-03
3.000000e+01	3.600000e+01	5.527617e-02	2.828175e-03	2.828175e-03
3.600000e+01	4.200000e+01	1.137358e-01	4.056821e-03	4.056821e-03
4.200000e+01	4.800000e+01	1.882573e-01	5.219312e-03	5.219312e-03
4.800000e+01	5.400000e+01	2.729080e-01	6.284133e-03	6.284133e-03
5.400000e+01	6.000000e+01	3.381687e-01	6.995262e-03	6.995262e-03
6.000000e+01	6.600000e+01	4.341060e-01	7.925656e-03	7.925656e-03
6.600000e+01	7.200000e+01	5.203485e-01	8.677296e-03	8.677296e-03
7.200000e+01	7.800000e+01	6.158518e-01	9.440074e-03	9.440074e-03
7.800000e+01	8.400000e+01	7.138152e-01	1.016319e-02	1.016319e-02
8.400000e+01	9.000000e+01	8.248015e-01	1.092476e-02	1.092476e-02
9.000000e+01	9.600000e+01	9.851313e-01	1.193945e-02	1.193945e-02
9.600000e+01	1.020000e+02	1.170784e+00	1.301595e-02	1.301595e-02
1.020000e+02	1.080000e+02	1.441956e+00	1.444486e-02	1.444486e-02
1.080000e+02	1.140000e+02	2.055203e+00	1.724506e-02	1.724506e-02
1.140000e+02	1.200000e+02	3.073037e+00	2.108731e-02	2.108731e-02
1.200000e+02	1.260000e+02	3.440147e+00	2.231134e-02	2.231134e-02
1.260000e+02	1.320000e+02	2.551530e+00	1.921488e-02	1.921488e-02
1.320000e+02	1.380000e+02	1.648301e+00	1.544385e-02	1.544385e-02
1.380000e+02	1.440000e+02	1.329522e+00	1.387028e-02	1.387028e-02
1.440000e+02	1.500000e+02	1.223890e+00	1.330787e-02	1.330787e-02
1.500000e+02	1.560000e+02	1.140252e+00	1.284511e-02	1.284511e-02
1.560000e+02	1.620000e+02	1.131859e+00	1.279775e-02	1.279775e-02
1.620000e+02	1.680000e+02	1.092356e+00	1.257243e-02	1.257243e-02
1.680000e+02	1.740000e+02	1.047498e+00	1.231158e-02	1.231158e-02
1.740000e+02	1.800000e+02	9.794880e-01	1.190520e-02	1.190520e-02
# END HISTO1D

