# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_HH_boost_C1d
Path=/res/100TeVlambda_oxford/histo_m_HH_boost_C1d
ScaledBy=1
Title=m_HH_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.400000e+02	2.170531e-04	9.706907e-05	9.706907e-05
2.400000e+02	2.600000e+02	6.511590e-04	1.681286e-04	1.681286e-04
2.600000e+02	2.800000e+02	2.344173e-03	3.190015e-04	3.190015e-04
2.800000e+02	3.000000e+02	2.908511e-03	3.553311e-04	3.553311e-04
3.000000e+02	3.200000e+02	3.863544e-03	4.095349e-04	4.095349e-04
3.200000e+02	3.400000e+02	4.948809e-03	4.634985e-04	4.634985e-04
3.400000e+02	3.600000e+02	5.079040e-03	4.695575e-04	4.695575e-04
3.600000e+02	3.800000e+02	6.772055e-03	5.421983e-04	5.421983e-04
3.800000e+02	4.000000e+02	1.002785e-02	6.597841e-04	6.597841e-04
4.000000e+02	4.200000e+02	1.137358e-02	7.026621e-04	7.026621e-04
4.200000e+02	4.400000e+02	2.048980e-02	9.431198e-04	9.431198e-04
4.400000e+02	4.600000e+02	3.425097e-02	1.219367e-03	1.219367e-03
4.600000e+02	4.800000e+02	4.901058e-02	1.458622e-03	1.458622e-03
4.800000e+02	5.000000e+02	6.416090e-02	1.668911e-03	1.668911e-03
5.000000e+02	5.200000e+02	7.405850e-02	1.793021e-03	1.793021e-03
5.200000e+02	5.400000e+02	8.651735e-02	1.937981e-03	1.937981e-03
5.400000e+02	5.600000e+02	1.003653e-01	2.087324e-03	2.087324e-03
5.600000e+02	5.800000e+02	1.020584e-01	2.104855e-03	2.104855e-03
5.800000e+02	6.000000e+02	1.091343e-01	2.176599e-03	2.176599e-03
# END HISTO1D

