# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_H1_res_C1d
Path=/res/100TeVlambda_oxford/histo_pt_H1_res_C1d
ScaledBy=1
Title=pt_H1_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	8.779650e-01	5.040701e-03	5.040701e-03
3.000000e+01	6.000000e+01	1.493499e+00	6.574379e-03	6.574379e-03
6.000000e+01	9.000000e+01	1.546170e+00	6.689304e-03	6.689304e-03
9.000000e+01	1.200000e+02	1.449538e+00	6.476899e-03	6.476899e-03
1.200000e+02	1.500000e+02	1.118807e+00	5.690231e-03	5.690231e-03
1.500000e+02	1.800000e+02	8.576200e-01	4.981954e-03	4.981954e-03
1.800000e+02	2.100000e+02	6.598413e-01	4.369906e-03	4.369906e-03
2.100000e+02	2.400000e+02	5.093510e-01	3.839379e-03	3.839379e-03
2.400000e+02	2.700000e+02	4.151213e-01	3.466090e-03	3.466090e-03
2.700000e+02	3.000000e+02	3.280974e-01	3.081440e-03	3.081440e-03
3.000000e+02	3.300000e+02	2.690879e-01	2.790611e-03	2.790611e-03
3.300000e+02	3.600000e+02	2.212494e-01	2.530424e-03	2.530424e-03
3.600000e+02	3.900000e+02	1.883731e-01	2.334865e-03	2.334865e-03
3.900000e+02	4.200000e+02	1.577252e-01	2.136500e-03	2.136500e-03
4.200000e+02	4.500000e+02	1.306659e-01	1.944614e-03	1.944614e-03
4.500000e+02	4.800000e+02	1.089027e-01	1.775300e-03	1.775300e-03
4.800000e+02	5.100000e+02	9.767387e-02	1.681286e-03	1.681286e-03
5.100000e+02	5.400000e+02	8.551890e-02	1.573198e-03	1.573198e-03
5.400000e+02	5.700000e+02	7.023837e-02	1.425737e-03	1.425737e-03
5.700000e+02	6.000000e+02	6.346630e-02	1.355264e-03	1.355264e-03
6.000000e+02	6.300000e+02	5.539193e-02	1.266122e-03	1.266122e-03
6.300000e+02	6.600000e+02	5.018267e-02	1.205117e-03	1.205117e-03
6.600000e+02	6.900000e+02	4.077703e-02	1.086326e-03	1.086326e-03
6.900000e+02	7.200000e+02	3.866437e-02	1.057811e-03	1.057811e-03
7.200000e+02	7.500000e+02	3.414967e-02	9.941356e-04	9.941356e-04
7.500000e+02	7.800000e+02	3.047425e-02	9.391150e-04	9.391150e-04
7.800000e+02	8.100000e+02	2.772491e-02	8.957511e-04	8.957511e-04
8.100000e+02	8.400000e+02	2.454146e-02	8.427573e-04	8.427573e-04
8.400000e+02	8.700000e+02	2.283398e-02	8.129112e-04	8.129112e-04
8.700000e+02	9.000000e+02	2.109756e-02	7.813909e-04	7.813909e-04
# END HISTO1D

