# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_tau21_fj_inter_C1e
Path=/res/100TeVlambda_oxford/histo_tau21_fj_inter_C1e
ScaledBy=1
Title=tau21_fj_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.818576e+00	3.542689e-01	3.542689e-01
3.333333e-02	6.666667e-02	1.364829e+01	5.962284e-01	5.962284e-01
6.666667e-02	1.000000e-01	2.138407e+01	7.463091e-01	7.463091e-01
1.000000e-01	1.333333e-01	2.398873e+01	7.904554e-01	7.904554e-01
1.333333e-01	1.666667e-01	2.487423e+01	8.049111e-01	8.049111e-01
1.666667e-01	2.000000e-01	2.638499e+01	8.289957e-01	8.289957e-01
2.000000e-01	2.333333e-01	2.539523e+01	8.132983e-01	8.132983e-01
2.333333e-01	2.666667e-01	2.450958e+01	7.989895e-01	7.989895e-01
2.666667e-01	3.000000e-01	2.362408e+01	7.844246e-01	7.844246e-01
3.000000e-01	3.333333e-01	2.531709e+01	8.120461e-01	8.120461e-01
3.333333e-01	3.666667e-01	2.344168e+01	7.813894e-01	7.813894e-01
3.666667e-01	4.000000e-01	2.180083e+01	7.535469e-01	7.535469e-01
4.000000e-01	4.333333e-01	2.036828e+01	7.283681e-01	7.283681e-01
4.333333e-01	4.666667e-01	2.057659e+01	7.320821e-01	7.320821e-01
4.666667e-01	5.000000e-01	1.932642e+01	7.094953e-01	7.094953e-01
5.000000e-01	5.333333e-01	1.776364e+01	6.802049e-01	6.802049e-01
5.333333e-01	5.666667e-01	1.630499e+01	6.516785e-01	6.516785e-01
5.666667e-01	6.000000e-01	1.552365e+01	6.358734e-01	6.358734e-01
6.000000e-01	6.333333e-01	1.177297e+01	5.537538e-01	5.537538e-01
6.333333e-01	6.666667e-01	9.923644e+00	5.084038e-01	5.084038e-01
6.666667e-01	7.000000e-01	8.543217e+00	4.717202e-01	4.717202e-01
7.000000e-01	7.333333e-01	6.146949e+00	4.001323e-01	4.001323e-01
7.333333e-01	7.666667e-01	5.079032e+00	3.637170e-01	3.637170e-01
7.666667e-01	8.000000e-01	3.255798e+00	2.912075e-01	2.912075e-01
8.000000e-01	8.333333e-01	2.318129e+00	2.457212e-01	2.457212e-01
8.333333e-01	8.666667e-01	1.927427e+00	2.240588e-01	2.240588e-01
8.666667e-01	9.000000e-01	1.562783e+00	2.017545e-01	2.017545e-01
9.000000e-01	9.333333e-01	8.074382e-01	1.450202e-01	1.450202e-01
9.333333e-01	9.666667e-01	6.772042e-01	1.328107e-01	1.328107e-01
9.666667e-01	1.000000e+00	2.344175e-01	7.813917e-02	7.813917e-02
# END HISTO1D

