# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_eta_H0_inter_C1d
Path=/res/100TeVlambda_oxford/histo_eta_H0_inter_C1d
ScaledBy=1
Title=eta_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	9.506745e+00	2.403116e-01	2.403116e-01
-2.400000e+00	-2.000000e+00	4.229743e+01	5.068923e-01	5.068923e-01
-2.000000e+00	-1.600000e+00	5.093550e+01	5.562488e-01	5.562488e-01
-1.600000e+00	-1.200000e+00	5.139717e+01	5.587639e-01	5.587639e-01
-1.200000e+00	-8.000000e-01	5.504800e+01	5.782685e-01	5.782685e-01
-8.000000e-01	-4.000000e-01	5.844977e+01	5.958682e-01	5.958682e-01
-4.000000e-01	0.000000e+00	5.915442e+01	5.994492e-01	5.994492e-01
0.000000e+00	4.000000e-01	5.919087e+01	5.996338e-01	5.996338e-01
4.000000e-01	8.000000e-01	5.946422e+01	6.010169e-01	6.010169e-01
8.000000e-01	1.200000e+00	5.645123e+01	5.855925e-01	5.855925e-01
1.200000e+00	1.600000e+00	5.225370e+01	5.634005e-01	5.634005e-01
1.600000e+00	2.000000e+00	5.009113e+01	5.516190e-01	5.516190e-01
2.000000e+00	2.400000e+00	4.164138e+01	5.029459e-01	5.029459e-01
2.400000e+00	2.800000e+00	8.929658e+00	2.329036e-01	2.329036e-01
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

