# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_C2_fj1_boost_C1e
Path=/res/100TeVlambda_oxford/histo_C2_fj1_boost_C1e
ScaledBy=1
Title=C2_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	2.593756e+02	8.758492e+00	8.758492e+00
1.666667e-02	3.333333e-02	3.620022e+02	1.034714e+01	1.034714e+01
3.333333e-02	5.000000e-02	3.773811e+02	1.056464e+01	1.056464e+01
5.000000e-02	6.666667e-02	3.886197e+02	1.072080e+01	1.072080e+01
6.666667e-02	8.333333e-02	3.448485e+02	1.009902e+01	1.009902e+01
8.333333e-02	1.000000e-01	3.410035e+02	1.004255e+01	1.004255e+01
1.000000e-01	1.166667e-01	3.395241e+02	1.002074e+01	1.002074e+01
1.166667e-01	1.333333e-01	3.321323e+02	9.911086e+00	9.911086e+00
1.333333e-01	1.500000e-01	3.241450e+02	9.791157e+00	9.791157e+00
1.500000e-01	1.666667e-01	2.945697e+02	9.333799e+00	9.333799e+00
1.666667e-01	1.833333e-01	2.833328e+02	9.154067e+00	9.154067e+00
1.833333e-01	2.000000e-01	2.419257e+02	8.458734e+00	8.458734e+00
2.000000e-01	2.166667e-01	2.271381e+02	8.196140e+00	8.196140e+00
2.166667e-01	2.333333e-01	2.206328e+02	8.077942e+00	8.077942e+00
2.333333e-01	2.500000e-01	1.919435e+02	7.534442e+00	7.534442e+00
2.500000e-01	2.666667e-01	1.656215e+02	6.998787e+00	6.998787e+00
2.666667e-01	2.833333e-01	1.532008e+02	6.731257e+00	6.731257e+00
2.833333e-01	3.000000e-01	1.277652e+02	6.147104e+00	6.147104e+00
3.000000e-01	3.166667e-01	1.091328e+02	5.681224e+00	5.681224e+00
3.166667e-01	3.333333e-01	9.907774e+01	5.413196e+00	5.413196e+00
3.333333e-01	3.500000e-01	7.896596e+01	4.832639e+00	4.832639e+00
3.500000e-01	3.666667e-01	6.565709e+01	4.406616e+00	4.406616e+00
3.666667e-01	3.833333e-01	5.944665e+01	4.193044e+00	4.193044e+00
3.833333e-01	4.000000e-01	4.643318e+01	3.705771e+00	3.705771e+00
4.000000e-01	4.166667e-01	3.460307e+01	3.199055e+00	3.199055e+00
4.166667e-01	4.333333e-01	3.105422e+01	3.030582e+00	3.030582e+00
4.333333e-01	4.500000e-01	2.011119e+01	2.438839e+00	2.438839e+00
4.500000e-01	4.666667e-01	1.597065e+01	2.173329e+00	2.173329e+00
4.666667e-01	4.833333e-01	2.099857e+01	2.492072e+00	2.492072e+00
4.833333e-01	5.000000e-01	1.035135e+01	1.749697e+00	1.749697e+00
5.000000e-01	5.166667e-01	1.123860e+01	1.823142e+00	1.823142e+00
5.166667e-01	5.333333e-01	7.098106e+00	1.448895e+00	1.448895e+00
5.333333e-01	5.500000e-01	6.210810e+00	1.355309e+00	1.355309e+00
5.500000e-01	5.666667e-01	4.140538e+00	1.106605e+00	1.106605e+00
5.666667e-01	5.833333e-01	3.549054e+00	1.024524e+00	1.024524e+00
5.833333e-01	6.000000e-01	2.070269e+00	7.824882e-01	7.824882e-01
6.000000e-01	6.166667e-01	1.478764e+00	6.613231e-01	6.613231e-01
6.166667e-01	6.333333e-01	1.478773e+00	6.613270e-01	6.613270e-01
6.333333e-01	6.500000e-01	8.872584e-01	5.122587e-01	5.122587e-01
6.500000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	6.833333e-01	5.915090e-01	4.182600e-01	4.182600e-01
6.833333e-01	7.000000e-01	2.957527e-01	2.957527e-01	2.957527e-01
7.000000e-01	7.166667e-01	5.915055e-01	4.182575e-01	4.182575e-01
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

