# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_m_largeR_inter_C1c
Path=/res/100TeVlambda_oxford/histo_m_largeR_inter_C1c
ScaledBy=1
Title=m_largeR_inter_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	2.349595e-01	1.389345e-02	1.389345e-02
6.000000e+00	1.200000e+01	8.585062e-01	2.655738e-02	2.655738e-02
1.200000e+01	1.800000e+01	2.370955e+00	4.413420e-02	4.413420e-02
1.800000e+01	2.400000e+01	3.783178e+00	5.574961e-02	5.574961e-02
2.400000e+01	3.000000e+01	4.726302e+00	6.231239e-02	6.231239e-02
3.000000e+01	3.600000e+01	5.093530e+00	6.468788e-02	6.468788e-02
3.600000e+01	4.200000e+01	5.186363e+00	6.527472e-02	6.527472e-02
4.200000e+01	4.800000e+01	5.236477e+00	6.558932e-02	6.558932e-02
4.800000e+01	5.400000e+01	5.313702e+00	6.607119e-02	6.607119e-02
5.400000e+01	6.000000e+01	5.301378e+00	6.599453e-02	6.599453e-02
6.000000e+01	6.600000e+01	5.005625e+00	6.412726e-02	6.412726e-02
6.600000e+01	7.200000e+01	4.965370e+00	6.386888e-02	6.386888e-02
7.200000e+01	7.800000e+01	4.847890e+00	6.310879e-02	6.310879e-02
7.800000e+01	8.400000e+01	4.604715e+00	6.150565e-02	6.150565e-02
8.400000e+01	9.000000e+01	4.267063e+00	5.920769e-02	5.920769e-02
9.000000e+01	9.600000e+01	4.147940e+00	5.837539e-02	5.837539e-02
9.600000e+01	1.020000e+02	3.862867e+00	5.633373e-02	5.633373e-02
1.020000e+02	1.080000e+02	3.611477e+00	5.446982e-02	5.446982e-02
1.080000e+02	1.140000e+02	3.590938e+00	5.431472e-02	5.431472e-02
1.140000e+02	1.200000e+02	4.547207e+00	6.112037e-02	6.112037e-02
1.200000e+02	1.260000e+02	5.858380e+00	6.937489e-02	6.937489e-02
1.260000e+02	1.320000e+02	5.142000e+00	6.499494e-02	6.499494e-02
1.320000e+02	1.380000e+02	3.441418e+00	5.317192e-02	5.317192e-02
1.380000e+02	1.440000e+02	2.313448e+00	4.359568e-02	4.359568e-02
1.440000e+02	1.500000e+02	1.846815e+00	3.895160e-02	3.895160e-02
1.500000e+02	1.560000e+02	1.674292e+00	3.708764e-02	3.708764e-02
1.560000e+02	1.620000e+02	1.454942e+00	3.457295e-02	3.457295e-02
1.620000e+02	1.680000e+02	1.317745e+00	3.290253e-02	3.290253e-02
1.680000e+02	1.740000e+02	1.135364e+00	3.054085e-02	3.054085e-02
1.740000e+02	1.800000e+02	1.042531e+00	2.926563e-02	2.926563e-02
# END HISTO1D

