# BEGIN HISTO1D /res/100TeVlambda_oxford/histo_pt_subleadSJ_fj1_boost_C2
Path=/res/100TeVlambda_oxford/histo_pt_subleadSJ_fj1_boost_C2
ScaledBy=1
Title=pt_subleadSJ_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	9.674723e-03	7.888968e-04	7.888968e-04
6.000000e+01	9.000000e+01	3.738633e-02	1.562452e-03	1.562452e-03
9.000000e+01	1.200000e+02	4.210543e-02	1.664701e-03	1.664701e-03
1.200000e+02	1.500000e+02	3.115743e-02	1.433399e-03	1.433399e-03
1.500000e+02	1.800000e+02	1.589260e-02	1.025604e-03	1.025604e-03
1.800000e+02	2.100000e+02	8.338263e-03	7.436841e-04	7.436841e-04
2.100000e+02	2.400000e+02	4.021887e-03	5.170461e-04	5.170461e-04
2.400000e+02	2.700000e+02	1.699925e-03	3.366168e-04	3.366168e-04
2.700000e+02	3.000000e+02	1.016342e-03	2.606633e-04	2.606633e-04
3.000000e+02	3.300000e+02	7.498530e-04	2.233708e-04	2.233708e-04
3.300000e+02	3.600000e+02	1.354629e-04	9.518073e-05	9.518073e-05
3.600000e+02	3.900000e+02	3.154702e-08	1.821368e-08	1.821368e-08
3.900000e+02	4.200000e+02	1.346111e-04	9.517701e-05	9.517701e-05
4.200000e+02	4.500000e+02	6.730030e-05	6.730031e-05	6.730031e-05
4.500000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e+02	5.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+02	5.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

