# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H_res_C1d
Path=/res/oxford_combined_rw2/histo_m_H_res_C1d
Title=m_H_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	1.959420e-05	1.131272e-05	1.131272e-05
6.000000e+01	6.600000e+01	3.265700e-05	1.460465e-05	1.460465e-05
6.600000e+01	7.200000e+01	9.143960e-05	2.443826e-05	2.443826e-05
7.200000e+01	7.800000e+01	1.502222e-04	3.132350e-05	3.132350e-05
7.800000e+01	8.400000e+01	3.004443e-04	4.429811e-05	4.429811e-05
8.400000e+01	9.000000e+01	5.421062e-04	5.950387e-05	5.950387e-05
9.000000e+01	9.600000e+01	6.466087e-04	6.498660e-05	6.498660e-05
9.600000e+01	1.020000e+02	7.053912e-04	6.787630e-05	6.787630e-05
1.020000e+02	1.080000e+02	1.018898e-03	8.157716e-05	8.157716e-05
1.080000e+02	1.140000e+02	1.162589e-03	8.713975e-05	8.713975e-05
1.140000e+02	1.200000e+02	1.476096e-03	9.818847e-05	9.818847e-05
1.200000e+02	1.260000e+02	1.730822e-03	1.063235e-04	1.063235e-04
1.260000e+02	1.320000e+02	2.410087e-03	1.254641e-04	1.254641e-04
1.320000e+02	1.380000e+02	2.723593e-03	1.333750e-04	1.333750e-04
1.380000e+02	1.440000e+02	2.834628e-03	1.360665e-04	1.360665e-04
1.440000e+02	1.500000e+02	3.729430e-03	1.560718e-04	1.560718e-04
1.500000e+02	1.560000e+02	4.317255e-03	1.679218e-04	1.679218e-04
1.560000e+02	1.620000e+02	5.401468e-03	1.878274e-04	1.878274e-04
1.620000e+02	1.680000e+02	6.818782e-03	2.110360e-04	2.110360e-04
1.680000e+02	1.740000e+02	8.307940e-03	2.329431e-04	2.329431e-04
1.740000e+02	1.800000e+02	9.940790e-03	2.548083e-04	2.548083e-04
# END HISTO1D

