# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dEta_HH_boost_C2
Path=/res/oxford_combined_rw2/histo_dEta_HH_boost_C2
Title=dEta_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	2.304776e-03	4.625641e-04	4.625641e-04
1.666667e-01	3.333333e-01	2.859443e-03	5.189705e-04	5.189705e-04
3.333333e-01	5.000000e-01	2.884181e-03	5.192495e-04	5.192495e-04
5.000000e-01	6.666667e-01	2.564750e-03	4.915563e-04	4.915563e-04
6.666667e-01	8.333333e-01	1.371888e-03	3.603953e-04	3.603953e-04
8.333333e-01	1.000000e+00	1.566533e-03	3.852771e-04	3.852771e-04
1.000000e+00	1.166667e+00	5.975713e-04	2.359577e-04	2.359577e-04
1.166667e+00	1.333333e+00	1.370308e-03	3.605754e-04	3.605754e-04
1.333333e+00	1.500000e+00	8.778738e-04	2.889503e-04	2.889503e-04
1.500000e+00	1.666667e+00	2.964238e-04	1.668386e-04	1.668386e-04
1.666667e+00	1.833333e+00	2.953705e-04	1.668376e-04	1.668376e-04
1.833333e+00	2.000000e+00	1.939429e-04	1.362071e-04	1.362071e-04
2.000000e+00	2.166667e+00	4.845557e-06	2.407824e-06	2.407824e-06
2.166667e+00	2.333333e+00	1.401571e-06	1.213523e-06	1.213523e-06
2.333333e+00	2.500000e+00	1.926788e-04	1.362018e-04	1.362018e-04
# END HISTO1D

