# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_res_C1a
Path=/res/oxford_combined_rw2/histo_pt_smallR_res_C1a
Title=pt_smallR_res_C1a
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.298190e+00	2.075659e-03	2.075659e-03
3.000000e+01	6.000000e+01	5.437260e-02	2.665067e-04	2.665067e-04
6.000000e+01	9.000000e+01	2.788908e-02	1.908689e-04	1.908689e-04
9.000000e+01	1.200000e+02	1.930159e-02	1.587869e-04	1.587869e-04
1.200000e+02	1.500000e+02	1.341288e-02	1.323668e-04	1.323668e-04
1.500000e+02	1.800000e+02	9.180537e-03	1.095096e-04	1.095096e-04
1.800000e+02	2.100000e+02	5.647050e-03	8.588729e-05	8.588729e-05
2.100000e+02	2.400000e+02	3.673260e-03	6.926980e-05	6.926980e-05
2.400000e+02	2.700000e+02	2.458419e-03	5.666907e-05	5.666907e-05
2.700000e+02	3.000000e+02	1.619787e-03	4.599886e-05	4.599886e-05
3.000000e+02	3.300000e+02	1.072456e-03	3.742897e-05	3.742897e-05
3.300000e+02	3.600000e+02	7.824617e-04	3.197052e-05	3.197052e-05
3.600000e+02	3.900000e+02	6.204830e-04	2.846971e-05	2.846971e-05
3.900000e+02	4.200000e+02	4.245410e-04	2.354930e-05	2.354930e-05
4.200000e+02	4.500000e+02	3.043632e-04	1.993950e-05	1.993950e-05
4.500000e+02	4.800000e+02	2.638686e-04	1.856573e-05	1.856573e-05
4.800000e+02	5.100000e+02	1.802666e-04	1.534531e-05	1.534531e-05
5.100000e+02	5.400000e+02	1.619787e-04	1.454612e-05	1.454612e-05
5.400000e+02	5.700000e+02	1.240966e-04	1.273204e-05	1.273204e-05
5.700000e+02	6.000000e+02	9.927727e-05	1.138788e-05	1.138788e-05
6.000000e+02	6.300000e+02	9.797100e-05	1.131272e-05	1.131272e-05
6.300000e+02	6.600000e+02	7.968307e-05	1.020237e-05	1.020237e-05
6.600000e+02	6.900000e+02	5.225120e-05	8.261640e-06	8.261640e-06
6.900000e+02	7.200000e+02	5.486377e-05	8.465662e-06	8.465662e-06
7.200000e+02	7.500000e+02	6.008887e-05	8.859622e-06	8.859622e-06
7.500000e+02	7.800000e+02	4.833237e-05	7.945791e-06	7.945791e-06
7.800000e+02	8.100000e+02	4.180097e-05	7.389435e-06	7.389435e-06
8.100000e+02	8.400000e+02	4.049467e-05	7.273059e-06	7.273059e-06
8.400000e+02	8.700000e+02	2.481932e-05	5.693942e-06	5.693942e-06
8.700000e+02	9.000000e+02	2.220676e-05	5.385930e-06	5.385930e-06
# END HISTO1D

