# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_inter_C1c
Path=/res/oxford_combined_rw2/histo_m_largeR_inter_C1c
Title=m_largeR_inter_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	3.359192e+04	8.050504e+02	8.050504e+02
6.000000e+00	1.200000e+01	4.877838e+04	1.059594e+03	1.059594e+03
1.200000e+01	1.800000e+01	5.539562e+04	1.072155e+03	1.072155e+03
1.800000e+01	2.400000e+01	5.120837e+04	1.021280e+03	1.021280e+03
2.400000e+01	3.000000e+01	5.026225e+04	9.975090e+02	9.975090e+02
3.000000e+01	3.600000e+01	5.080242e+04	9.955176e+02	9.955176e+02
3.600000e+01	4.200000e+01	5.236425e+04	1.016081e+03	1.016081e+03
4.200000e+01	4.800000e+01	5.738028e+04	1.050595e+03	1.050595e+03
4.800000e+01	5.400000e+01	5.993405e+04	1.072438e+03	1.072438e+03
5.400000e+01	6.000000e+01	5.976477e+04	1.075379e+03	1.075379e+03
6.000000e+01	6.600000e+01	5.891917e+04	1.075472e+03	1.075472e+03
6.600000e+01	7.200000e+01	5.602542e+04	1.046793e+03	1.046793e+03
7.200000e+01	7.800000e+01	4.873675e+04	9.739888e+02	9.739888e+02
7.800000e+01	8.400000e+01	4.398148e+04	9.207437e+02	9.207437e+02
8.400000e+01	9.000000e+01	4.127047e+04	9.055968e+02	9.055968e+02
9.000000e+01	9.600000e+01	3.569417e+04	8.396878e+02	8.396878e+02
9.600000e+01	1.020000e+02	3.008095e+04	7.630087e+02	7.630087e+02
1.020000e+02	1.080000e+02	2.317795e+04	6.662630e+02	6.662630e+02
1.080000e+02	1.140000e+02	1.908998e+04	6.128839e+02	6.128839e+02
1.140000e+02	1.200000e+02	1.477031e+04	5.302002e+02	5.302002e+02
1.200000e+02	1.260000e+02	1.028774e+04	4.425027e+02	4.425027e+02
1.260000e+02	1.320000e+02	7.097798e+03	3.704025e+02	3.704025e+02
1.320000e+02	1.380000e+02	5.083487e+03	3.106572e+02	3.106572e+02
1.380000e+02	1.440000e+02	3.716187e+03	2.654905e+02	2.654905e+02
1.440000e+02	1.500000e+02	2.827787e+03	2.317547e+02	2.317547e+02
1.500000e+02	1.560000e+02	1.498749e+03	1.755468e+02	1.755468e+02
1.560000e+02	1.620000e+02	1.120946e+03	1.516154e+02	1.516154e+02
1.620000e+02	1.680000e+02	1.063735e+03	1.421881e+02	1.421881e+02
1.680000e+02	1.740000e+02	6.112595e+02	1.185934e+02	1.185934e+02
1.740000e+02	1.800000e+02	5.977085e+02	1.129614e+02	1.129614e+02
# END HISTO1D

