# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H1_res_C1e
Path=/res/oxford_combined_rw2/histo_m_H1_res_C1e
Title=m_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	3.134380e+02	5.578358e+00	5.578358e+00
9.000000e+01	9.600000e+01	5.159782e+02	7.154905e+00	7.154905e+00
9.600000e+01	1.020000e+02	6.552812e+02	8.070041e+00	8.070041e+00
1.020000e+02	1.080000e+02	7.480302e+02	8.615948e+00	8.615948e+00
1.080000e+02	1.140000e+02	8.500043e+02	9.188001e+00	9.188001e+00
1.140000e+02	1.200000e+02	8.876133e+02	9.386280e+00	9.386280e+00
1.200000e+02	1.260000e+02	9.055345e+02	9.480473e+00	9.480473e+00
1.260000e+02	1.320000e+02	8.816087e+02	9.388191e+00	9.388191e+00
1.320000e+02	1.380000e+02	8.356677e+02	9.104164e+00	9.104164e+00
1.380000e+02	1.440000e+02	7.691617e+02	8.739295e+00	8.739295e+00
1.440000e+02	1.500000e+02	7.027077e+02	8.350439e+00	8.350439e+00
1.500000e+02	1.560000e+02	6.344197e+02	7.932230e+00	7.932230e+00
1.560000e+02	1.620000e+02	5.489322e+02	7.384819e+00	7.384819e+00
1.620000e+02	1.680000e+02	2.595040e+02	5.072736e+00	5.072736e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

