# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Path=/res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Title=pt_H1_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	4.795420e+01	9.752109e-01	9.752109e-01
2.100000e+02	2.400000e+02	8.958847e+01	1.333006e+00	1.333006e+00
2.400000e+02	2.700000e+02	4.259950e+01	9.191524e-01	9.191524e-01
2.700000e+02	3.000000e+02	2.407626e+01	6.910027e-01	6.910027e-01
3.000000e+02	3.300000e+02	1.205796e+01	4.890150e-01	4.890150e-01
3.300000e+02	3.600000e+02	7.318073e+00	3.809637e-01	3.809637e-01
3.600000e+02	3.900000e+02	5.334857e+00	3.252719e-01	3.252719e-01
3.900000e+02	4.200000e+02	2.677344e+00	2.304291e-01	2.304291e-01
4.200000e+02	4.500000e+02	2.141875e+00	2.061020e-01	2.061020e-01
4.500000e+02	4.800000e+02	1.289092e+00	1.598921e-01	1.598921e-01
4.800000e+02	5.100000e+02	8.527837e-01	1.300483e-01	1.300483e-01
5.100000e+02	5.400000e+02	5.949653e-01	1.086253e-01	1.086253e-01
5.400000e+02	5.700000e+02	5.553010e-01	1.049420e-01	1.049420e-01
5.700000e+02	6.000000e+02	3.768113e-01	8.644645e-02	8.644645e-02
6.000000e+02	6.300000e+02	1.586574e-01	5.609387e-02	5.609387e-02
6.300000e+02	6.600000e+02	1.983218e-01	6.271485e-02	6.271485e-02
6.600000e+02	6.900000e+02	1.189931e-01	4.857871e-02	4.857871e-02
6.900000e+02	7.200000e+02	5.949653e-02	3.435034e-02	3.435034e-02
7.200000e+02	7.500000e+02	5.949653e-02	3.435034e-02	3.435034e-02
7.500000e+02	7.800000e+02	1.983218e-02	1.983218e-02	1.983218e-02
7.800000e+02	8.100000e+02	1.983218e-02	1.983218e-02	1.983218e-02
8.100000e+02	8.400000e+02	5.949653e-02	3.435034e-02	3.435034e-02
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

