# BEGIN HISTO1D /res/oxford_combined_rw2/histo_D2_fj_inter_C1e
Path=/res/oxford_combined_rw2/histo_D2_fj_inter_C1e
Title=D2_fj_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	2.406226e+06	4.485643e+05	4.485643e+05
1.666667e-02	3.333333e-02	8.988514e+05	2.706977e+05	2.706977e+05
3.333333e-02	5.000000e-02	1.114609e+06	3.026105e+05	3.026105e+05
5.000000e-02	6.666667e-02	1.608981e+06	3.701188e+05	3.701188e+05
6.666667e-02	8.333333e-02	1.171887e+06	3.168532e+05	3.168532e+05
8.333333e-02	1.000000e-01	1.660858e+06	3.817908e+05	3.817908e+05
1.000000e-01	1.166667e-01	1.837103e+06	4.046985e+05	4.046985e+05
1.166667e-01	1.333333e-01	1.714112e+06	3.822788e+05	3.822788e+05
1.333333e-01	1.500000e-01	1.950948e+06	4.159030e+05	4.159030e+05
1.500000e-01	1.666667e-01	1.631780e+06	3.815466e+05	3.815466e+05
1.666667e-01	1.833333e-01	1.957239e+06	4.159613e+05	4.159613e+05
1.833333e-01	2.000000e-01	2.147984e+06	4.371936e+05	4.371936e+05
2.000000e-01	2.166667e-01	1.432929e+06	3.569611e+05	3.569611e+05
2.166667e-01	2.333333e-01	1.623879e+06	3.814880e+05	3.814880e+05
2.333333e-01	2.500000e-01	7.734285e+05	2.531448e+05	2.531448e+05
2.500000e-01	2.666667e-01	1.640174e+06	3.818354e+05	3.818354e+05
2.666667e-01	2.833333e-01	1.516165e+06	3.711435e+05	3.711435e+05
2.833333e-01	3.000000e-01	2.390829e+06	4.669242e+05	4.669242e+05
3.000000e-01	3.166667e-01	1.540955e+06	3.695527e+05	3.695527e+05
3.166667e-01	3.333333e-01	1.941919e+06	4.158496e+05	4.158496e+05
3.333333e-01	3.500000e-01	1.890908e+06	4.445577e+05	4.445577e+05
3.500000e-01	3.666667e-01	2.410793e+06	4.670735e+05	4.670735e+05
3.666667e-01	3.833333e-01	2.220605e+06	4.472693e+05	4.472693e+05
3.833333e-01	4.000000e-01	1.527047e+06	3.694270e+05	3.694270e+05
4.000000e-01	4.166667e-01	1.819067e+06	4.045836e+05	4.045836e+05
4.166667e-01	4.333333e-01	1.756937e+06	4.047258e+05	4.047258e+05
4.333333e-01	4.500000e-01	1.418047e+06	3.568309e+05	3.568309e+05
4.500000e-01	4.666667e-01	2.893000e+06	5.133024e+05	5.133024e+05
4.666667e-01	4.833333e-01	1.587816e+06	3.811834e+05	3.811834e+05
4.833333e-01	5.000000e-01	2.036634e+06	7.259636e+05	7.259636e+05
5.000000e-01	5.166667e-01	2.158760e+06	4.372925e+05	4.372925e+05
5.166667e-01	5.333333e-01	1.879359e+06	4.065179e+05	4.065179e+05
5.333333e-01	5.500000e-01	2.030248e+06	4.265412e+05	4.265412e+05
5.500000e-01	5.666667e-01	2.614651e+06	4.861693e+05	4.861693e+05
5.666667e-01	5.833333e-01	2.165643e+06	5.428492e+05	5.428492e+05
5.833333e-01	6.000000e-01	1.540572e+06	3.695527e+05	3.695527e+05
6.000000e-01	6.166667e-01	1.791671e+06	4.043539e+05	4.043539e+05
6.166667e-01	6.333333e-01	2.111243e+06	4.369231e+05	4.369231e+05
6.333333e-01	6.500000e-01	1.335919e+06	3.440439e+05	3.440439e+05
6.500000e-01	6.666667e-01	1.465762e+06	3.572864e+05	3.572864e+05
6.666667e-01	6.833333e-01	1.581088e+06	3.699319e+05	3.699319e+05
6.833333e-01	7.000000e-01	1.798381e+06	4.044113e+05	4.044113e+05
7.000000e-01	7.166667e-01	2.457963e+06	4.674215e+05	4.674215e+05
7.166667e-01	7.333333e-01	2.229900e+06	4.473821e+05	4.473821e+05
7.333333e-01	7.500000e-01	1.486248e+06	3.574814e+05	3.574814e+05
7.500000e-01	7.666667e-01	2.101134e+06	4.276037e+05	4.276037e+05
7.666667e-01	7.833333e-01	1.696476e+06	3.929998e+05	3.929998e+05
7.833333e-01	8.000000e-01	1.356915e+06	3.442464e+05	3.442464e+05
8.000000e-01	8.166667e-01	2.036644e+06	4.265956e+05	4.265956e+05
8.166667e-01	8.333333e-01	1.696285e+06	3.929998e+05	3.929998e+05
8.333333e-01	8.500000e-01	1.546879e+06	3.696156e+05	3.696156e+05
8.500000e-01	8.666667e-01	1.607541e+06	3.745423e+05	3.745423e+05
8.666667e-01	8.833333e-01	1.030302e+06	3.017660e+05	3.017660e+05
8.833333e-01	9.000000e-01	1.248101e+06	3.306926e+05	3.306926e+05
9.000000e-01	9.166667e-01	1.189453e+06	3.171460e+05	3.171460e+05
9.166667e-01	9.333333e-01	1.852776e+06	4.048731e+05	4.048731e+05
9.333333e-01	9.500000e-01	1.522990e+06	3.624936e+05	3.624936e+05
9.500000e-01	9.666667e-01	1.642164e+06	3.816704e+05	3.816704e+05
9.666667e-01	9.833333e-01	2.138302e+06	4.371357e+05	4.371357e+05
9.833333e-01	1.000000e+00	1.309258e+06	3.313242e+05	3.313242e+05
# END HISTO1D

