# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_inter_C1d
Path=/res/oxford_combined_rw2/histo_pt_smallR_inter_C1d
Title=pt_smallR_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	2.265024e+06	1.073656e+04	1.073656e+04
6.000000e+01	9.000000e+01	1.800039e+06	9.542589e+03	9.542589e+03
9.000000e+01	1.200000e+02	1.162183e+06	7.658565e+03	7.658565e+03
1.200000e+02	1.500000e+02	8.817907e+05	6.687966e+03	6.687966e+03
1.500000e+02	1.800000e+02	7.374770e+05	6.076658e+03	6.076658e+03
1.800000e+02	2.100000e+02	7.193480e+05	6.016507e+03	6.016507e+03
2.100000e+02	2.400000e+02	6.049693e+05	5.575155e+03	5.575155e+03
2.400000e+02	2.700000e+02	3.183706e+05	4.034613e+03	4.034613e+03
2.700000e+02	3.000000e+02	1.703780e+05	2.941122e+03	2.941122e+03
3.000000e+02	3.300000e+02	9.959870e+04	2.373000e+03	2.373000e+03
3.300000e+02	3.600000e+02	5.750677e+04	1.729161e+03	1.729161e+03
3.600000e+02	3.900000e+02	3.529007e+04	1.328367e+03	1.328367e+03
3.900000e+02	4.200000e+02	2.282883e+04	1.138952e+03	1.138952e+03
4.200000e+02	4.500000e+02	1.404237e+04	8.349894e+02	8.349894e+02
4.500000e+02	4.800000e+02	1.034082e+04	7.679046e+02	7.679046e+02
4.800000e+02	5.100000e+02	7.222680e+03	7.000037e+02	7.000037e+02
5.100000e+02	5.400000e+02	5.443373e+03	5.218083e+02	5.218083e+02
5.400000e+02	5.700000e+02	3.460180e+03	4.171054e+02	4.171054e+02
5.700000e+02	6.000000e+02	2.421277e+03	3.474691e+02	3.474691e+02
6.000000e+02	6.300000e+02	1.990366e+03	3.137305e+02	3.137305e+02
6.300000e+02	6.600000e+02	1.601429e+03	2.851434e+02	2.851434e+02
6.600000e+02	6.900000e+02	9.481903e+02	2.183980e+02	2.183980e+02
6.900000e+02	7.200000e+02	8.952537e+02	2.119030e+02	2.119030e+02
7.200000e+02	7.500000e+02	6.121460e+02	1.756972e+02	1.756972e+02
7.500000e+02	7.800000e+02	3.966660e+02	1.402278e+02	1.402278e+02
7.800000e+02	8.100000e+02	3.286137e+02	1.296599e+02	1.296599e+02
8.100000e+02	8.400000e+02	2.266614e+02	1.060023e+02	1.060023e+02
8.400000e+02	8.700000e+02	3.324165e+02	1.297152e+02	1.297152e+02
8.700000e+02	9.000000e+02	6.044713e+01	5.313624e+01	5.313624e+01
# END HISTO1D

