# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_inter_C1b
Path=/res/oxford_combined_rw2/histo_m_largeR_inter_C1b
Title=m_largeR_inter_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	3.937162e+04	8.744373e+02	8.744373e+02
6.000000e+00	1.200000e+01	5.458217e+04	1.039302e+03	1.039302e+03
1.200000e+01	1.800000e+01	6.075945e+04	1.122215e+03	1.122215e+03
1.800000e+01	2.400000e+01	5.277638e+04	1.028014e+03	1.028014e+03
2.400000e+01	3.000000e+01	5.312145e+04	1.032455e+03	1.032455e+03
3.000000e+01	3.600000e+01	5.421440e+04	1.022323e+03	1.022323e+03
3.600000e+01	4.200000e+01	5.341733e+04	1.115981e+03	1.115981e+03
4.200000e+01	4.800000e+01	5.434825e+04	1.021580e+03	1.021580e+03
4.800000e+01	5.400000e+01	5.552970e+04	1.029330e+03	1.029330e+03
5.400000e+01	6.000000e+01	5.605505e+04	1.048590e+03	1.048590e+03
6.000000e+01	6.600000e+01	5.221388e+04	1.013194e+03	1.013194e+03
6.600000e+01	7.200000e+01	4.688952e+04	9.564889e+02	9.564889e+02
7.200000e+01	7.800000e+01	4.353320e+04	9.255678e+02	9.255678e+02
7.800000e+01	8.400000e+01	3.786320e+04	8.565178e+02	8.565178e+02
8.400000e+01	9.000000e+01	3.379230e+04	8.016190e+02	8.016190e+02
9.000000e+01	9.600000e+01	2.790247e+04	7.339104e+02	7.339104e+02
9.600000e+01	1.020000e+02	2.376783e+04	6.904811e+02	6.904811e+02
1.020000e+02	1.080000e+02	1.868462e+04	5.996842e+02	5.996842e+02
1.080000e+02	1.140000e+02	1.408149e+04	5.166884e+02	5.166884e+02
1.140000e+02	1.200000e+02	1.035072e+04	4.441183e+02	4.441183e+02
1.200000e+02	1.260000e+02	7.028652e+03	3.658693e+02	3.658693e+02
1.260000e+02	1.320000e+02	5.510192e+03	3.241421e+02	3.241421e+02
1.320000e+02	1.380000e+02	3.676517e+03	2.639789e+02	2.639789e+02
1.380000e+02	1.440000e+02	2.234230e+03	2.056775e+02	2.056775e+02
1.440000e+02	1.500000e+02	1.268588e+03	1.549827e+02	1.549827e+02
1.500000e+02	1.560000e+02	9.845758e+02	1.365361e+02	1.365361e+02
1.560000e+02	1.620000e+02	5.112220e+02	9.838472e+01	9.838472e+01
1.620000e+02	1.680000e+02	4.468963e+02	9.362846e+01	9.362846e+01
1.680000e+02	1.740000e+02	2.461440e+02	6.826804e+01	6.826804e+01
1.740000e+02	1.800000e+02	1.325391e+02	5.009505e+01	5.009505e+01
# END HISTO1D

