# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_largeR_boost_C1a
Path=/res/oxford_combined_rw2/histo_eta_largeR_boost_C1a
Title=eta_largeR_boost_C1a
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	4.634252e+06	2.678084e+03	2.678084e+03
-5.600000e+00	-5.200000e+00	4.828173e+06	2.729562e+03	2.729562e+03
-5.200000e+00	-4.800000e+00	4.974275e+06	2.768517e+03	2.768517e+03
-4.800000e+00	-4.400000e+00	5.109155e+06	2.810550e+03	2.810550e+03
-4.400000e+00	-4.000000e+00	5.230362e+06	2.841066e+03	2.841066e+03
-4.000000e+00	-3.600000e+00	5.294473e+06	2.858482e+03	2.858482e+03
-3.600000e+00	-3.200000e+00	5.301545e+06	2.859801e+03	2.859801e+03
-3.200000e+00	-2.800000e+00	5.358812e+06	2.876702e+03	2.876702e+03
-2.800000e+00	-2.400000e+00	5.442610e+06	2.904718e+03	2.904718e+03
-2.400000e+00	-2.000000e+00	5.428780e+06	2.892968e+03	2.892968e+03
-2.000000e+00	-1.600000e+00	5.411335e+06	2.886068e+03	2.886068e+03
-1.600000e+00	-1.200000e+00	5.388955e+06	2.885822e+03	2.885822e+03
-1.200000e+00	-8.000000e-01	5.296925e+06	2.860125e+03	2.860125e+03
-8.000000e-01	-4.000000e-01	5.143552e+06	2.813896e+03	2.813896e+03
-4.000000e-01	7.771561e-16	5.039497e+06	2.787674e+03	2.787674e+03
7.771561e-16	4.000000e-01	5.034923e+06	2.784705e+03	2.784705e+03
4.000000e-01	8.000000e-01	5.146525e+06	2.817727e+03	2.817727e+03
8.000000e-01	1.200000e+00	5.293468e+06	2.861922e+03	2.861922e+03
1.200000e+00	1.600000e+00	5.393332e+06	2.882121e+03	2.882121e+03
1.600000e+00	2.000000e+00	5.408663e+06	2.890240e+03	2.890240e+03
2.000000e+00	2.400000e+00	5.429435e+06	2.894195e+03	2.894195e+03
2.400000e+00	2.800000e+00	5.443355e+06	2.900586e+03	2.900586e+03
2.800000e+00	3.200000e+00	5.353595e+06	2.877323e+03	2.877323e+03
3.200000e+00	3.600000e+00	5.307233e+06	2.862575e+03	2.862575e+03
3.600000e+00	4.000000e+00	5.289633e+06	2.853485e+03	2.853485e+03
4.000000e+00	4.400000e+00	5.223127e+06	2.840514e+03	2.840514e+03
4.400000e+00	4.800000e+00	5.110733e+06	2.809121e+03	2.809121e+03
4.800000e+00	5.200000e+00	4.981260e+06	2.774241e+03	2.774241e+03
5.200000e+00	5.600000e+00	4.828948e+06	2.731302e+03	2.731302e+03
5.600000e+00	6.000000e+00	4.630352e+06	2.672211e+03	2.672211e+03
# END HISTO1D

