# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_inter_C1c
Path=/res/oxford_combined_rw2/histo_m_largeR_inter_C1c
Title=m_largeR_inter_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	4.400532e+01	9.275442e-01	9.275442e-01
6.000000e+00	1.200000e+01	7.115843e+01	1.179677e+00	1.179677e+00
1.200000e+01	1.800000e+01	6.530587e+01	1.129875e+00	1.129875e+00
1.800000e+01	2.400000e+01	5.423475e+01	1.029800e+00	1.029800e+00
2.400000e+01	3.000000e+01	5.900407e+01	1.073878e+00	1.073878e+00
3.000000e+01	3.600000e+01	7.250765e+01	1.190419e+00	1.190419e+00
3.600000e+01	4.200000e+01	8.681815e+01	1.303043e+00	1.303043e+00
4.200000e+01	4.800000e+01	1.104071e+02	1.469306e+00	1.469306e+00
4.800000e+01	5.400000e+01	1.377884e+02	1.641335e+00	1.641335e+00
5.400000e+01	6.000000e+01	1.728032e+02	1.838233e+00	1.838233e+00
6.000000e+01	6.600000e+01	2.228198e+02	2.087160e+00	2.087160e+00
6.600000e+01	7.200000e+01	3.304573e+02	2.541677e+00	2.541677e+00
7.200000e+01	7.800000e+01	5.245437e+02	3.202297e+00	3.202297e+00
7.800000e+01	8.400000e+01	6.078342e+02	3.447297e+00	3.447297e+00
8.400000e+01	9.000000e+01	4.713498e+02	3.035890e+00	3.035890e+00
9.000000e+01	9.600000e+01	3.702133e+02	2.690388e+00	2.690388e+00
9.600000e+01	1.020000e+02	3.263927e+02	2.526025e+00	2.526025e+00
1.020000e+02	1.080000e+02	2.815712e+02	2.346267e+00	2.346267e+00
1.080000e+02	1.140000e+02	2.276115e+02	2.109402e+00	2.109402e+00
1.140000e+02	1.200000e+02	1.786337e+02	1.868626e+00	1.868626e+00
1.200000e+02	1.260000e+02	1.350352e+02	1.624603e+00	1.624603e+00
1.260000e+02	1.320000e+02	9.737993e+01	1.379677e+00	1.379677e+00
1.320000e+02	1.380000e+02	6.880598e+01	1.159752e+00	1.159752e+00
1.380000e+02	1.440000e+02	5.161928e+01	1.004464e+00	1.004464e+00
1.440000e+02	1.500000e+02	4.202553e+01	9.063802e-01	9.063802e-01
1.500000e+02	1.560000e+02	3.771853e+01	8.585752e-01	8.585752e-01
1.560000e+02	1.620000e+02	3.725478e+01	8.533498e-01	8.533498e-01
1.620000e+02	1.680000e+02	3.695752e+01	8.498841e-01	8.498841e-01
1.680000e+02	1.740000e+02	3.033037e+01	7.699035e-01	7.699035e-01
1.740000e+02	1.800000e+02	2.073320e+01	6.365155e-01	6.365155e-01
# END HISTO1D

