# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_smallR_res_C1e
Path=/res/oxford_combined_rw2/histo_eta_smallR_res_C1e
Title=eta_smallR_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.016782e+07	2.000966e+05	2.000966e+05
-2.400000e+00	-2.000000e+00	5.130948e+07	4.445740e+05	4.445740e+05
-2.000000e+00	-1.600000e+00	6.945313e+07	5.143938e+05	5.143938e+05
-1.600000e+00	-1.200000e+00	8.719785e+07	5.784847e+05	5.784847e+05
-1.200000e+00	-8.000000e-01	1.053661e+08	6.308935e+05	6.308935e+05
-8.000000e-01	-4.000000e-01	1.204594e+08	6.718011e+05	6.718011e+05
-4.000000e-01	7.771561e-16	1.273786e+08	6.954894e+05	6.954894e+05
7.771561e-16	4.000000e-01	1.267837e+08	6.883055e+05	6.883055e+05
4.000000e-01	8.000000e-01	1.198804e+08	6.785875e+05	6.785875e+05
8.000000e-01	1.200000e+00	1.057689e+08	6.356459e+05	6.356459e+05
1.200000e+00	1.600000e+00	8.703712e+07	5.760268e+05	5.760268e+05
1.600000e+00	2.000000e+00	6.884550e+07	5.151246e+05	5.151246e+05
2.000000e+00	2.400000e+00	5.220265e+07	4.476111e+05	4.476111e+05
2.400000e+00	2.800000e+00	1.032373e+07	2.194835e+05	2.194835e+05
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

