# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H1_inter_C1e
Path=/res/oxford_combined_rw2/histo_eta_H1_inter_C1e
Title=eta_H1_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	2.840122e+02	2.840122e+02	2.840122e+02
-4.800000e+00	-4.400000e+00	5.680245e+02	4.016539e+02	4.016539e+02
-4.400000e+00	-4.000000e+00	1.136049e+03	5.680244e+02	5.680244e+02
-4.000000e+00	-3.600000e+00	1.704074e+03	6.956850e+02	6.956850e+02
-3.600000e+00	-3.200000e+00	3.124135e+03	9.419620e+02	9.419620e+02
-3.200000e+00	-2.800000e+00	1.022444e+04	1.704073e+03	1.704073e+03
-2.800000e+00	-2.400000e+00	4.553135e+04	3.681080e+03	3.681080e+03
-2.400000e+00	-2.000000e+00	1.582453e+05	6.780846e+03	6.780846e+03
-2.000000e+00	-1.600000e+00	2.392868e+05	8.246863e+03	8.246863e+03
-1.600000e+00	-1.200000e+00	2.826887e+05	9.014540e+03	9.014540e+03
-1.200000e+00	-8.000000e-01	2.870523e+05	9.034538e+03	9.034538e+03
-8.000000e-01	-4.000000e-01	2.834138e+05	9.106739e+03	9.106739e+03
-4.000000e-01	7.771561e-16	2.879900e+05	9.090679e+03	9.090679e+03
7.771561e-16	4.000000e-01	2.949710e+05	9.519365e+03	9.519365e+03
4.000000e-01	8.000000e-01	2.923460e+05	9.150270e+03	9.150270e+03
8.000000e-01	1.200000e+00	2.879640e+05	9.114079e+03	9.114079e+03
1.200000e+00	1.600000e+00	2.924957e+05	9.148675e+03	9.148675e+03
1.600000e+00	2.000000e+00	2.451116e+05	8.389804e+03	8.389804e+03
2.000000e+00	2.400000e+00	1.703573e+05	6.986936e+03	6.986936e+03
2.400000e+00	2.800000e+00	3.995603e+04	3.422377e+03	3.422377e+03
2.800000e+00	3.200000e+00	9.656417e+03	1.656062e+03	1.656062e+03
3.200000e+00	3.600000e+00	3.408148e+03	9.838474e+02	9.838474e+02
3.600000e+00	4.000000e+00	5.680245e+02	4.016539e+02	4.016539e+02
4.000000e+00	4.400000e+00	5.680245e+02	4.016539e+02	4.016539e+02
4.400000e+00	4.800000e+00	8.520368e+02	4.919236e+02	4.919236e+02
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

