# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H0_boost_C1d
Path=/res/oxford_combined_rw2/histo_phi_H0_boost_C1d
Title=phi_H0_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	6.226705e+05	1.843836e+04	1.843836e+04
2.100000e-01	4.200000e-01	6.504638e+05	2.916590e+04	2.916590e+04
4.200000e-01	6.300000e-01	6.390419e+05	1.888142e+04	1.888142e+04
6.300000e-01	8.400000e-01	6.608129e+05	1.913391e+04	1.913391e+04
8.400000e-01	1.050000e+00	6.369329e+05	1.883003e+04	1.883003e+04
1.050000e+00	1.260000e+00	6.279933e+05	1.859343e+04	1.859343e+04
1.260000e+00	1.470000e+00	6.206648e+05	1.837669e+04	1.837669e+04
1.470000e+00	1.680000e+00	6.500162e+05	1.901590e+04	1.901590e+04
1.680000e+00	1.890000e+00	5.909243e+05	1.795608e+04	1.795608e+04
1.890000e+00	2.100000e+00	5.946300e+05	1.793704e+04	1.793704e+04
2.100000e+00	2.310000e+00	5.874400e+05	1.798657e+04	1.798657e+04
2.310000e+00	2.520000e+00	6.647952e+05	1.964812e+04	1.964812e+04
2.520000e+00	2.730000e+00	6.260110e+05	1.850090e+04	1.850090e+04
2.730000e+00	2.940000e+00	6.260210e+05	1.846931e+04	1.846931e+04
2.940000e+00	3.150000e+00	6.350657e+05	1.854932e+04	1.854932e+04
# END HISTO1D

