# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H0_boost_C1d
Path=/res/oxford_combined_rw2/histo_pt_H0_boost_C1d
Title=pt_H0_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	3.003272e+03	1.070283e+02	1.070283e+02
2.100000e+02	2.400000e+02	2.851998e+04	3.315165e+02	3.315165e+02
2.400000e+02	2.700000e+02	3.037072e+04	3.443938e+02	3.443938e+02
2.700000e+02	3.000000e+02	2.282352e+04	2.979387e+02	2.979387e+02
3.000000e+02	3.300000e+02	1.484686e+04	2.394257e+02	2.394257e+02
3.300000e+02	3.600000e+02	1.038916e+04	2.015284e+02	2.015284e+02
3.600000e+02	3.900000e+02	6.833320e+03	1.633472e+02	1.633472e+02
3.900000e+02	4.200000e+02	4.350123e+03	1.300262e+02	1.300262e+02
4.200000e+02	4.500000e+02	3.190737e+03	1.907072e+02	1.907072e+02
4.500000e+02	4.800000e+02	1.929786e+03	8.626463e+01	8.626463e+01
4.800000e+02	5.100000e+02	1.353530e+03	7.339005e+01	7.339005e+01
5.100000e+02	5.400000e+02	9.934393e+02	6.279112e+01	6.279112e+01
5.400000e+02	5.700000e+02	7.414523e+02	5.376494e+01	5.376494e+01
5.700000e+02	6.000000e+02	6.194900e+02	4.979258e+01	4.979258e+01
6.000000e+02	6.300000e+02	2.802254e+02	3.257554e+01	3.257554e+01
6.300000e+02	6.600000e+02	2.499308e+02	3.076435e+01	3.076435e+01
6.600000e+02	6.900000e+02	1.931283e+02	2.704337e+01	2.704337e+01
6.900000e+02	7.200000e+02	1.211786e+02	2.142154e+01	2.142154e+01
7.200000e+02	7.500000e+02	8.709710e+01	1.816100e+01	1.816100e+01
7.500000e+02	7.800000e+02	8.331027e+01	1.776181e+01	1.776181e+01
7.800000e+02	8.100000e+02	7.952343e+01	1.735343e+01	1.735343e+01
8.100000e+02	8.400000e+02	4.165513e+01	1.255949e+01	1.255949e+01
8.400000e+02	8.700000e+02	3.786830e+01	1.197501e+01	1.197501e+01
8.700000e+02	9.000000e+02	2.272098e+01	9.275800e+00	9.275800e+00
# END HISTO1D

