# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_smallR_boost_C1d
Path=/res/oxford_combined_rw2/histo_eta_smallR_boost_C1d
Title=eta_smallR_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	4.462240e+02	2.576275e+01	2.576275e+01
-2.400000e+00	-2.000000e+00	2.863270e+03	6.525999e+01	6.525999e+01
-2.000000e+00	-1.600000e+00	7.800845e+03	1.079787e+02	1.079787e+02
-1.600000e+00	-1.200000e+00	1.174844e+04	1.324051e+02	1.324051e+02
-1.200000e+00	-8.000000e-01	1.432018e+04	1.461381e+02	1.461381e+02
-8.000000e-01	-4.000000e-01	1.652899e+04	1.569769e+02	1.569769e+02
-4.000000e-01	7.771561e-16	1.725251e+04	1.601924e+02	1.601924e+02
7.771561e-16	4.000000e-01	1.762967e+04	1.621078e+02	1.621078e+02
4.000000e-01	8.000000e-01	1.631990e+04	1.558026e+02	1.558026e+02
8.000000e-01	1.200000e+00	1.456739e+04	1.473927e+02	1.473927e+02
1.200000e+00	1.600000e+00	1.158397e+04	1.312637e+02	1.312637e+02
1.600000e+00	2.000000e+00	7.801785e+03	1.077266e+02	1.077266e+02
2.000000e+00	2.400000e+00	2.887070e+03	6.553064e+01	6.553064e+01
2.400000e+00	2.800000e+00	5.042333e+02	2.738618e+01	2.738618e+01
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

